County,Catholic,Evangelical,Mainline,Jewish,Other
Adams,14.3,34.34,13.99,0,0
Allen,17.38,19.34,12.37,0.29,0.44
Bartholomew,7.69,24.47,17.74,0.17,0
Benton,34.65,14.36,17.84,0,0
Blackford,5.9,8.56,17.3,0,0
Boone,10.04,13.77,21.81,0,0
Brown,7.06,12.01,9.47,0,0
Carroll,4.02,14.27,20.53,0,0
Cass ,10.12,10.42,17.07,0,0
Clark,12.71,15.66,11.01,0,0
Clay ,3.53,13.53,16.86,0,0
Clinton,4.23,17.68,16.65,0,0
Crawford,1.47,24.96,9.3,0,0
Daviess,14.02,27.69,16.14,0,0
Dearborn,18.71,11.71,12.69,0,0
Decatur,22.16,11.02,27.91,0,0
DeKalb,8.27,17.32,12.4,0,0
Delaware,5.96,9.84,10.72,0.1,0.08
Dubois,58.08,8.08,14.72,0,0
Elkhart,6.22,22.64,8.9,0,0.1
Fayette,11.15,18.08,13.67,0,0
Floyd,20.87,26.72,13.67,0,1.19
Fountain,4.95,22.87,14.11,0,0
Franklin,24.42,19.31,6.92,0,0
Fulton,5.2,13.5,15.62,0,0
Gibson,18.67,11.98,13.1,0,0
Grant,5.72,22.2,12.71,0.18,0
Greene,2.47,19.19,17.09,0,0
Hamilton,20.13,11.49,10.66,0,0
Hancock,7.29,16.9,11.07,0,0
Harrison,18.53,13.92,19.75,0,0
Hendricks,11.86,20.25,10.8,0,0.1
Henry,2.06,23.15,15.46,0,0
Howard,11.3,23.44,12.1,0.15,0.07
Huntington,13.29,20.94,16.77,0,0
Jackson,3.54,37.93,15.18,0,0
Jasper,13.68,16.86,14.13,0,0
Jay ,9.41,18.84,14.51,0,0
Jefferson,9.1,19.67,21.61,0,0
Jennings,9.44,11.16,18.11,0,0
Johnson,8.52,23.31,9.1,0,0
Knox ,14.47,15.85,19.26,0,0
Kosciusko,6.42,20.96,9.98,0,0
LaGrange,2.05,31.02,9.42,0,0
Lake ,26.5,9.82,5.38,0.41,2.46
LaPorte,22.97,10.9,10.19,0.27,0.27
Lawrence,5.53,23.68,14.82,0,0
Madison,6.1,17.92,12.26,0,0
Marion,12.68,14.71,10.56,1.16,0.69
Marshall,10.3,18.66,11.84,0,0
Martin,25.38,19.46,14.53,0,0
Miami,6.75,17.19,17.81,0,0
Monroe,10.45,11.7,8.68,0.83,0.5
Montgomery,5.26,20.57,18.52,0,0.55
Morgan,4.78,20.51,12.12,0,0
Newton,9.06,7.54,16.3,0,0
Noble,7.76,10.95,10.32,0,0
Ohio ,10,15.51,20.74,0,0
Orange,3.04,25.66,18.33,0,0
Owen ,1.4,13.27,10.62,0,0
Parke,1.86,18.84,13.06,0,0
Perry,33.07,7.69,12.16,0,0
Pike ,2.52,10.83,14.56,0,0
Porter,20.8,12.22,7.47,0,0.7
Posey,20.85,10.09,18.47,0,0
Pulaski,17.89,19.42,13.12,0,0
Putnam,2.86,17.31,17.05,0,0
Randolph,3.77,15.01,16.57,0,0
Ripley,34.68,10.94,31.46,0,0
Rush ,9.77,20.02,20.43,0,0
Scott,2.9,24.95,17.12,0,0
Shelby,9.07,9.44,19.27,0,0
Spencer,22.31,10.61,18.67,0,0
St. Joseph,23.8,9.28,8.43,0.7,1.03
Starke,6.62,11.45,3.33,0,0
Steuben,5.07,13.01,9.57,0,0.49
Sullivan,1.94,19.25,15.36,0,0
Switzerland,1.62,9.32,17.31,0,0
Tippecanoe,13.14,10.97,10.92,0.37,0.61
Tipton,9.22,21.58,14.08,0,0
Union,8.3,17.19,13.65,0,0
Vanderburgh,18.32,19.12,11.71,0.23,0.53
Vermillion,6.81,10.69,15.42,0,0
Vigo ,8.76,13.36,10.4,0.19,0.73
Wabash,7.26,23.56,17.23,0,0
Warren,2.77,27.95,11.47,0,0
Warrick,13.19,11.62,12.25,0.23,0
Washington,2.1,27.74,16.78,0,0
Wayne,7.73,16.97,15.52,0.18,0
Wells,17.75,22.46,19.36,0,0
White,6.36,11.7,19.91,0,0
Whitley,8.62,20.07,13.15,0,0
