County,Casey,Rendell
Adams,2388,1621
Allegheny,94719,80120
Armstrong,4081,2102
Beaver,14406,9428
Bedford,2145,863
Berks,10508,19024
Blair,4202,2806
Bradford,1431,397
Bucks,9984,44715
Butler,6821,4311
Cambria,17845,8705
Cameron,399,176
Carbon,3396,2232
Centre,3597,3971
Chester,4744,22564
Clarion,2005,1085
Clearfield,4981,2041
Clinton,1410,1119
Columbia,2859,1764
Crawford,3520,1613
Cumberland,6670,5502
Dauphin,11313,7279
Delaware,6082,38050
Elk,2593,953
Erie,17309,8979
Fayette,15320,5404
Forest,285,150
Franklin,3026,1234
Fulton,532,147
Greene,3949,1779
Huntingdon,1482,896
Indiana,4896,2116
Jefferson,2245,725
Juniata,1314,501
Lackawanna,32569,6085
Lancaster,6051,8976
Lawrence,5842,3378
Lebanon,3108,2233
Lehigh,7992,17448
Luzerne,27433,11779
Lycoming,4087,1760
McKean,1240,377
Mercer,5818,3139
Mifflin,1521,829
Monroe,3614,2807
Montgomery,8760,66712
Montour,864,304
Northampton,7874,14668
Northumberland,5490,2230
Perry,1631,760
Philadelphia,61465,224635
Pike,709,373
Potter,664,164
Schuylkill,7720,4579
Snyder,939,388
Somerset,5628,2455
Sullivan,459,193
Susquehanna,1764,428
Tioga,1054,261
Union,840,600
Venango,2116,945
Warren,1785,638
Washington,16884,11552
Wayne,1639,489
Westmoreland,27367,19008
Wyoming,1159,452
York,11251,7425
