
state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,uncommitted-d,total-d,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson,uncommitted-r,total-r
AK,*,40,0,0,0,,0,0,0,0,0,0,0,,0,,,0,0,0,,,0,0
AL,*,2827,2414,1047,189944,458,6876,,,261158,886,2287,462656,1867,185513,331,645,169973,12020,78128,77,1465,988,451212
AL,Autauga,25,25,11,1760,1,57,,,2268,5,16,4118,21,3579,5,6,3530,155,1174,0,21,16,8507
AL,Baldwin,69,35,26,3766,14,158,,,2823,6,52,6845,79,4513,6,33,7759,456,4245,2,55,69,17227
AL,Barbour,22,8,7,379,0,27,,,807,4,9,1233,8,353,2,0,331,13,61,0,2,2,772
AL,Bibb,10,10,7,923,2,44,,,758,6,15,1755,8,1407,2,5,812,41,154,0,4,8,2443
AL,Blount,27,27,10,2735,2,75,,,617,5,27,3471,29,4483,10,4,2657,165,874,1,27,15,8268
AL,Bullock,18,18,14,471,4,6,,,2032,5,8,2540,2,189,0,0,293,10,75,0,0,4,573
AL,Butler,22,20,15,1000,3,37,,,1338,8,6,2407,9,960,1,6,990,33,272,1,6,1,2279
AL,Calhoun,50,39,16,4548,11,119,,,4008,13,57,8772,29,5047,9,3,3894,275,1597,3,23,26,10909
AL,Chambers,22,22,10,1448,3,54,,,2409,12,22,3958,16,1165,1,2,1314,85,412,1,16,9,3024
AL,Cherokee,26,15,4,1286,3,66,,,292,7,18,1676,9,809,3,4,478,19,240,0,11,3,1576
AL,Chilton,20,19,2,1911,2,55,,,1131,4,15,3120,20,3325,3,3,2055,91,387,1,8,4,5901
AL,Choctaw,48,33,10,672,11,27,,,1720,10,19,2469,4,785,1,2,596,8,130,0,4,2,1532
AL,Clarke,31,23,10,999,3,44,,,1917,8,9,2990,6,960,2,5,1119,37,245,0,6,4,2384
AL,Clay,25,25,3,1047,3,38,,,555,8,9,1663,9,1127,0,5,803,37,127,0,8,1,2123
AL,Cleburne,18,18,9,888,5,52,,,237,8,11,1210,8,1093,2,0,628,55,174,0,2,1,1964
AL,Coffee,37,36,17,1646,5,60,,,1460,10,28,3226,26,2273,4,11,2366,89,931,1,15,17,5735
AL,Colbert,35,15,7,2174,4,116,,,1783,5,15,4104,10,1157,5,7,696,85,348,0,15,3,2328
AL,Conecuh,28,28,9,796,6,32,,,1527,8,14,2392,5,544,0,3,628,13,148,0,2,4,1348
AL,Coosa,14,14,8,691,3,24,,,1116,4,7,1853,2,625,3,2,599,30,105,1,4,2,1373
AL,Covington,30,30,9,1717,5,93,,,960,11,28,2823,8,2622,3,9,1773,87,528,0,10,8,5054
AL,Crenshaw,20,17,7,665,1,30,,,747,7,17,1474,4,665,0,1,658,22,136,0,8,6,1501
AL,Cullman,54,49,15,4977,7,222,,,1175,34,65,6495,34,5847,6,10,3673,281,1398,3,36,22,11313
AL,Dale,26,26,6,1423,1,64,,,1655,9,25,3183,23,2367,5,15,2342,171,996,2,18,19,5960
AL,Dallas,32,31,17,2174,2,66,,,6833,16,25,9133,16,1381,4,4,1435,63,438,1,8,4,3355
AL,DeKalb,51,51,13,4272,7,183,,,953,23,53,5504,22,3532,4,5,2018,189,886,1,24,11,6696
AL,Elmore,31,31,19,2344,6,66,,,2981,12,33,5461,46,5561,9,17,5076,251,1806,1,44,19,12835
AL,Escambia,35,35,11,1457,2,53,,,1415,14,32,2984,11,1468,8,4,1630,59,435,1,4,7,3627
AL,Etowah,58,58,28,7350,15,293,,,4314,33,94,12127,34,6212,10,22,4084,276,1821,3,46,29,12542
AL,Fayette,29,29,5,1460,4,58,,,669,4,24,2224,10,1338,4,0,716,31,148,1,8,6,2263
AL,Franklin,26,26,13,2731,4,130,,,651,9,35,3573,9,1675,5,1,770,38,248,0,6,7,2760
AL,Geneva,28,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Greene,16,15,7,483,3,18,,,2086,3,5,2605,0,182,0,1,171,14,35,1,1,0,406
AL,Hale,17,17,15,915,7,26,,,2206,6,14,3189,5,577,0,3,546,27,82,0,2,2,1245
AL,Henry,17,16,14,671,5,29,,,1138,15,10,1882,7,1013,5,7,849,67,307,0,8,4,2270
AL,Houston,38,32,16,2293,3,65,,,3183,12,28,5600,25,3705,8,13,3434,268,1766,0,19,20,9258
AL,Jackson,40,40,17,5505,6,216,,,1061,12,82,6899,17,2629,3,8,1374,134,727,0,20,19,4933
AL,Jefferson,378,336,104,24981,61,438,,,66293,87,179,92143,234,27032,40,94,26265,1886,12134,9,192,141,68060
AL,Lamar,27,27,6,1009,1,45,,,398,6,16,1481,8,1045,2,1,604,21,116,0,8,1,1806
AL,Lauderdale,33,31,19,6910,8,278,,,3425,17,103,10760,26,4418,8,15,2836,375,1956,2,65,19,9725
AL,Lawrence,31,29,12,3413,6,164,,,1279,11,44,4929,6,1836,2,5,966,112,602,0,15,8,3553
AL,Lee,37,34,19,3383,5,97,,,6580,9,34,10127,34,3639,7,17,4020,451,2199,0,0,0,10369
AL,Limestone,35,34,20,4537,4,168,,,3122,23,76,7950,24,3845,6,24,2947,482,2804,2,50,28,10217
AL,Lowndes,15,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Macon,20,19,5,929,5,25,,,4783,12,10,5769,1,229,1,1,245,8,91,0,1,7,586
AL,Madison,106,78,45,11343,20,338,,,15489,52,119,27406,110,9657,27,48,9526,1184,8659,5,154,60,29449
AL,Marengo,27,27,19,1107,6,62,,,2589,10,23,3816,5,1175,2,3,1009,17,185,0,6,4,2407
AL,Marion,23,18,8,1671,2,58,,,235,10,17,2001,9,1167,4,2,652,25,145,0,9,0,2016
AL,Marshall,47,42,11,4740,4,111,,,1221,18,35,6140,29,4289,7,16,3102,333,1933,3,39,22,9774
AL,Mobile,187,187,105,13636,38,1001,,,27350,59,180,42369,440,7271,19,78,17043,1199,9324,12,145,117,35663
AL,Monroe,33,33,26,929,8,34,,,2006,6,20,3029,18,1118,5,6,1427,50,297,1,8,7,2940
AL,Montgomery,123,123,42,8629,22,173,,,25731,27,69,34693,75,7475,10,23,9218,500,5172,4,65,33,22578
AL,Morgan,59,14,6,1328,2,41,,,1477,8,15,2877,15,1042,1,6,1116,81,948,0,21,3,3234
AL,Perry,18,18,9,932,7,25,,,1665,5,8,2651,3,296,0,2,351,10,47,0,1,2,712
AL,Pickens,27,27,20,915,9,54,,,1934,11,11,2954,7,1260,4,1,878,29,126,2,4,4,2317
AL,Pike,29,15,5,574,2,23,,,1031,3,8,1646,10,582,1,0,699,27,238,0,3,4,1564
AL,Randolph,25,25,7,1317,2,77,,,969,9,31,2412,6,1249,3,8,1092,87,281,0,7,8,2742
AL,Russell,22,22,7,2052,7,58,,,3641,6,25,5796,13,995,1,4,1290,52,731,0,12,9,3108
AL,Shelby,76,18,4,1303,1,44,,,1258,6,18,2634,28,2938,3,5,2266,166,967,2,23,9,6408
AL,St. Clair,37,34,11,3050,9,96,,,1697,4,31,4898,38,5743,3,11,3899,235,1284,1,35,25,11282
AL,Sumter,15,15,24,683,14,35,,,2023,16,12,2807,3,252,2,1,306,13,92,0,1,1,671
AL,Talladega,34,34,19,3818,15,125,,,5191,23,39,9230,45,4100,9,23,3373,265,695,2,20,21,8557
AL,Tallapoosa,31,31,19,1857,1,67,,,2556,17,29,4546,16,2662,9,10,2708,108,640,1,19,13,6190
AL,Tuscaloosa,100,76,22,5484,10,171,,,11289,24,56,17056,42,7100,4,9,4830,468,1843,3,41,35,14380
AL,Walker,47,47,21,6514,11,235,,,1672,26,105,8584,21,4597,7,5,2522,91,557,1,16,21,7841
AL,Washington,36,36,11,1097,6,73,,,1098,11,32,2328,8,847,1,5,835,24,185,0,5,0,1913
AL,Wilcox,30,27,10,585,6,21,,,2097,7,3,2729,4,262,1,0,339,5,59,0,2,1,674
AL,Winston,24,24,4,1641,3,36,,,234,7,12,1937,18,2224,9,1,1512,41,362,2,7,11,4192
AR,*,2480,935,,,,,,,,,,121554,281,52450,,,17391,4124,11080,,286,350,85962
AR,*,2480,953,236,87548,106,2622,156,158,28958,385,1385,121554,,,,,,,,,,,85962
AR,Arkansas,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0
AR,Ashley,24,24,11,1823,5,51,8,3,721,9,47,2678,4,1163,,,298,23,100,,2,6,1596
AR,Baxter,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0
AR,Benton,83,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0
AR,Boone,21,20,5,2401,4,81,1,5,580,11,0,3088,7,2284,,,743,227,324,,11,0,3596
AR,Bradley,16,16,3,1099,1,41,8,2,447,5,28,1634,1,556,,,150,9,60,,1,0,777
AR,Calhoun,12,12,4,552,3,21,4,2,167,4,18,775,4,321,,,65,22,30,,2,1,445
