County,White Collar,Blue Collar,Grey Collar
.Adams County,44.0,40.7,15.3
.Allen County,59.2,27.9,12.9
.Bartholomew County,54.8,32.5,12.7
.Benton County,49.0,37.0,14.0
.Blackford County,40.6,47.1,12.3
.Boone County,60.2,26.0,13.8
.Brown County,53.0,32.1,14.9
.Carroll County,43.4,41.0,15.6
.Cass County,43.4,40.8,15.9
.Clark County,54.1,31.2,14.7
.Clay County,45.5,37.7,16.8
.Clinton County,40.4,45.7,13.9
.Crawford County,40.6,43.0,16.4
.Daviess County,46.3,39.3,14.4
.Dearborn County,51.7,33.6,14.7
.Decatur County,42.3,43.4,14.3
.DeKalb County,42.3,46.1,11.6
.Delaware County,56.6,25.7,17.8
.Dubois County,47.8,40.2,12.1
.Elkhart County,47.2,41.4,11.4
.Fayette County,38.6,46.3,15.2
.Floyd County,57.6,28.8,13.6
.Fountain County,40.4,43.3,16.3
.Franklin County,45.6,40.3,14.1
.Fulton County,41.6,44.0,14.4
.Gibson County,43.6,38.7,17.6
.Grant County,47.7,35.2,17.1
.Greene County,46.3,37.5,16.2
.Hamilton County,77.6,13.0,9.4
.Hancock County,61.2,26.7,12.1
.Harrison County,47.1,37.9,15.0
.Hendricks County,62.0,26.6,11.5
.Henry County,46.6,37.2,16.2
.Howard County,47.0,37.2,15.8
.Huntington County,44.5,39.7,15.8
.Jackson County,44.2,44.1,11.8
.Jasper County,46.1,38.1,15.8
.Jay County,37.2,49.2,13.6
.Jefferson County,47.3,36.5,16.2
.Jennings County,40.4,44.9,14.7
.Johnson County,61.4,26.7,11.9
.Knox County,53.4,26.3,20.3
.Kosciusko County,45.3,42.8,11.9
.LaGrange County,34.8,51.1,14.2
.Lake County,53.5,30.3,16.2
.LaPorte County,48.7,35.1,16.2
.Lawrence County,43.4,40.9,15.7
.Madison County,51.7,32.2,16.1
.Marion County,61.3,23.8,14.9
.Marshall County,44.2,42.4,13.4
.Martin County,44.2,42.1,13.8
.Miami County,43.8,40.9,15.3
.Monroe County,64.9,17.8,17.3
.Montgomery County,47.6,39.5,13.0
.Morgan County,47.5,38.1,14.4
.Newton County,39.1,44.9,16.0
.Noble County,38.7,49.9,11.5
.Ohio County,45.9,36.4,17.7
.Orange County,40.0,43.9,16.1
.Owen County,40.3,44.8,14.9
.Parke County,45.5,37.0,17.5
.Perry County,38.5,46.6,14.9
.Pike County,40.0,44.0,16.0
.Porter County,55.2,30.7,14.1
.Posey County,53.0,33.4,13.6
.Pulaski County,43.5,40.2,16.3
.Putnam County,47.1,37.4,15.5
.Randolph County,43.2,40.7,16.0
.Ripley County,44.0,42.4,13.7
.Rush County,43.1,43.1,13.8
.St. Joseph County,59.2,26.2,14.6
.Scott County,40.1,43.9,16.0
.Shelby County,48.0,37.6,14.4
.Spencer County,45.7,40.0,14.3
.Starke County,40.6,45.1,14.2
.Steuben County,47.2,40.5,12.3
.Sullivan County,46.4,34.6,19.0
.Switzerland County,36.1,44.4,19.5
.Tippecanoe County,59.9,23.5,16.6
.Tipton County,44.2,38.4,17.4
.Union County,48.2,37.3,14.4
.Vanderburgh County,56.8,27.6,15.6
.Vermillion County,43.6,38.7,17.7
.Vigo County,57.4,24.5,18.1
.Wabash County,45.3,39.6,15.0
.Warren County,45.5,40.0,14.5
.Warrick County,58.5,28.4,13.1
.Washington County,39.9,45.6,14.4
.Wayne County,49.6,34.7,15.7
.Wells County,49.1,36.0,14.9
.White County,45.0,40.3,14.6
.Whitley County,48.3,38.8,12.8
