NC State Board of Elections Voter Statistics,,,,,,,,,,,,,,,,,

Reporting Period   04-26-2008,,,,,,,,,,,,,,,,,

Return back to Historical Voter Statistics Query,,,,,,,,,,,,,,,,,
County,Democrats,Republicans,Libertarians,Unaffiliated,White,Black,Am Indian,Hispanic,Other,Male,Female,Total,Percent Democrats,Percent Republicans,Percent Unafiliated,Percent White,Percent Black
Totals,2616995,1933929,0,1240297,4368780,1192950,44170,49835,90166,2603775,3163294,5791221,45%,33%,21%,75%,21%
ALAMANCE,37725,29435,0,15983,65404,15500,135,634,973,36824,46140,83143,45%,35%,19%,79%,19%
ALEXANDER,8410,10492,0,4489,22055,1038,25,102,136,11095,12246,23391,36%,45%,19%,94%,4%
ALLEGHANY,3540,2220,0,1186,6789,71,8,40,27,3253,3675,6946,51%,32%,17%,98%,1%
ANSON,11296,2160,0,1717,7992,6998,32,20,61,6690,8426,15173,74%,14%,11%,53%,46%
ASHE,7522,8584,0,3818,19605,99,11,64,87,9286,10597,19924,38%,43%,19%,98%,0%
AVERY,1716,7919,0,2606,12034,50,16,35,51,5790,6391,12241,14%,65%,21%,98%,0%
BEAUFORT,15963,9321,0,5061,22114,7834,27,87,186,13430,16717,30345,53%,31%,17%,73%,26%
BERTIE,11060,1343,0,1144,5248,8093,20,14,26,5667,7779,13547,82%,10%,8%,39%,60%
BLADEN,14911,2845,0,3176,12839,7507,221,75,114,9258,11615,20932,71%,14%,15%,61%,36%
BRUNSWICK,27380,26144,0,16310,61583,6947,144,277,493,32273,37116,69834,39%,37%,23%,88%,10%
BUNCOMBE,72950,49016,0,42679,149712,9272,249,864,2476,74173,89116,164645,44%,30%,26%,91%,6%
BURKE,22705,20190,0,12341,50725,3239,51,224,602,25589,29505,55236,41%,37%,22%,92%,6%
CABARRUS,36119,41873,0,22200,83154,14000,199,1077,1242,45761,54143,100192,36%,42%,22%,83%,14%
CALDWELL,17800,23632,0,9744,47859,2472,39,197,318,23888,27162,51176,35%,46%,19%,94%,5%
CAMDEN,3133,1762,0,1884,5595,1083,10,14,57,3247,3501,6779,46%,26%,28%,83%,16%
CARTERET,15499,18650,0,11169,42244,2316,73,145,315,21061,23938,45318,34%,41%,25%,93%,5%
CASWELL,9201,2997,0,2323,9036,5304,12,33,68,6419,8020,14521,63%,21%,16%,62%,37%
CATAWBA,31182,45530,0,22785,88527,7902,84,626,1326,45567,53694,99497,31%,46%,23%,89%,8%
CHATHAM,19652,10478,0,9308,32449,5727,56,316,477,17837,21060,39438,50%,27%,24%,82%,15%
CHEROKEE,7345,8410,0,4225,19491,201,97,58,79,9296,10666,19980,37%,42%,21%,98%,1%
CHOWAN,5699,2261,0,1836,6744,2894,9,12,49,4350,5386,9796,58%,23%,19%,69%,30%
CLAY,2886,3269,0,2030,8077,24,7,16,27,3859,4303,8185,35%,40%,25%,99%,0%
CLEVELAND,29505,18129,0,9823,45070,11564,66,260,323,25785,31638,57457,51%,32%,17%,78%,20%
COLUMBUS,25318,5838,0,5803,24611,11025,1020,70,157,16533,20359,36959,69%,16%,16%,67%,30%
CRAVEN,27368,22528,0,14358,48029,14364,118,565,1002,28734,35296,64254,43%,35%,22%,75%,22%
CUMBERLAND,94149,50795,0,43191,100456,71615,1849,5483,9567,82843,103781,188135,50%,27%,23%,53%,38%
CURRITUCK,5551,5047,0,5070,14376,950,45,55,145,7342,8236,15668,35%,32%,32%,92%,6%
DARE,10351,7709,0,7580,24695,469,30,68,220,12114,13495,25640,40%,30%,30%,96%,2%
DAVIDSON,32854,45531,0,17731,86320,8314,197,481,804,44625,51448,96116,34%,47%,18%,90%,9%
DAVIE,6138,14217,0,5012,23441,1585,24,132,185,11822,13542,25367,24%,56%,20%,92%,6%
DUPLIN,15497,6724,0,4985,18167,8312,33,285,283,11634,15167,27206,57%,25%,18%,67%,31%
DURHAM,105060,30217,0,37178,96005,65584,342,2253,3732,73879,96902,172455,61%,18%,22%,56%,38%
EDGECOMBE,27084,5784,0,2864,14527,20777,23,55,186,15076,20514,35732,76%,16%,8%,41%,58%
FORSYTH,91064,72837,0,39019,145404,51585,291,1904,2644,88931,113551,202920,45%,36%,19%,72%,25%
FRANKLIN,16825,10340,0,5692,23267,8768,80,267,354,14913,17730,32857,51%,31%,17%,71%,27%
GASTON,45370,47182,0,25077,99377,15891,189,787,999,52013,64984,117629,39%,40%,21%,84%,14%
GATES,4813,1387,0,1366,4790,2613,1,6,47,3386,4042,7566,64%,18%,18%,63%,35%
GRAHAM,2596,2856,0,1124,6213,1,283,34,42,3152,3416,6576,39%,43%,17%,94%,0%
GRANVILLE,18160,7468,0,4761,19710,9981,61,196,317,13040,16776,30389,60%,25%,16%,65%,33%
GREENE,7165,1722,0,1357,6342,3759,9,76,77,4522,5716,10244,70%,17%,13%,62%,37%
GUILFORD,158073,102290,0,64868,215675,98058,768,2171,4268,142384,182423,325231,49%,31%,20%,66%,30%
HALIFAX,25540,4758,0,4351,15512,17556,996,70,211,14463,20084,34649,74%,14%,13%,45%,51%
HARNETT,26780,19928,0,10442,42631,12311,355,758,970,25504,31487,57150,47%,35%,18%,75%,22%
HAYWOOD,20651,12055,0,8437,40286,383,78,149,202,18977,22065,41143,50%,29%,21%,98%,1%
HENDERSON,18747,32319,0,22639,70120,1752,99,534,723,33637,39672,73705,25%,44%,31%,95%,2%
HERTFORD,10836,1818,0,1247,5516,8102,79,14,84,5693,8187,13901,78%,13%,9%,40%,58%
