County,Catholic,Evangelical,Mainline,Jewish,Other
Alamance,2.33,17.96,21.13,0,0.001009174
Alexander,1.24,49.6,14.72,,
Alleghany,1.59,18.07,7.42,,
Anson,0.46,35.82,12.4,,
Ashe,1.25,38.09,10.88,,
Avery,2.27,35.2,9,,
Beaufort,1.53,30.76,16.62,0,0
Bertie,0,36.94,6.16,0,0
Bladen,0.29,34.6,10.29,0,0
Brunswick,3.17,20.07,9.08,0,0
Buncombe,4.11,35.58,12.94,0.63,0.34
Burke,1.04,46.99,11.62,,
Cabarus,1.53,29.21,18.98,0,0
Caldwell,0.98,49.99,10.24,,
Camden,0,32.29,10.84,0,0
Carteret,3.03,21.37,16.01,0,0
Caswell,0,15.91,12.05,0,0
Catawba,3.1,32.38,24.14,0.08,
Chatham,1.35,23.65,12.95,0,0
Cherokee,2.76,43.55,7.53,,
Chowan,3.19,36.28,7.94,0,0
Clay,4.43,42.14,12.16,,
Cleveland,1.53,48.97,12.05,,
Columbus,0.71,44.05,8.05,0,0
Craven,5.84,19.58,16.54,0.08,0.002077956
Cumberland,3.03,20.4,10.24,0.1,0.002214792
Currituck,0,21.7,8.49,,
Dare,7,11.32,19.47,0,0
Davidson,1.23,19.79,22.1,,
Davie,3.2,23.76,21.93,,
Duplin,1.14,25.29,9.2,0,0
Durham,4.4,17.6,13.27,1.79,0.009994895
Edgecombe,3.63,20.32,8.36,0.14,0.005179297
Forsyth,4.26,23.17,21.16,0.16,0.7
Franklin,0.35,27.44,8.57,0,0
Gaston,2.79,40.03,13.66,0.11,0.03
Gates,0,28.24,14.43,0,0
Graham,1.11,27,3.84,,
Granville,0.18,29.07,8.09,0,0
Greene,0,19.08,10.61,0,0
Guilford,5.14,20.11,19.3,0.59,0.010134236
Halifax,0.94,21.31,12.23,0.12,0
Harnett,0.93,21.95,9.39,0,0
Haywood,1.84,54.64,16.07,,
Henderson,5.67,35.91,13.06,0.28,
Hertford,0.67,37.07,5.55,0,0
Hoke,1.04,14.11,7.31,0,0
Hyde ,0.84,9.85,20.53,0,0
Iredell,3.99,27.59,18.02,0.07,0.04
Jackson,2.18,31.49,9.45,,
Johnston,1.71,23.98,8.8,0,0
Jones,0,24.69,14.14,0,0
Lee,4.06,22.03,18.42,0,0
Lenoir,1.33,21.3,15.1,0.12,0
Lincoln,2.1,30.57,21.72,,
McDowell,0.74,39.1,7.43,,
Macon,5.01,49.17,13.04,,
Madison,1.4,47.64,4.57,,
Martin,0.81,37.39,13.3,0,0
Mecklenburg,8.53,18.48,17.36,1.22,1.62
Mitchell,1.26,63.22,6.44,,
Montgomery,1.37,27.99,15.76,0,0
Moore,5.23,15.91,19.17,0,0
Nash,1.92,31.62,11.29,0,0
New Hanover,8.04,21.69,15.18,0.75,0.007654064
Northampton,0,20.27,11.08,0,0
Onslow,4.29,14.56,6.1,0,0
Orange,5.84,9.89,14.17,0,0.00084583
Pamlico,0,15.85,19.66,0,0
Pasquotank,3.58,16.04,11.06,0,0
Pender,2.24,20.61,9.63,0,0
Perquimans,0,19.65,21.36,0,0
Person,1.03,30.62,12.48,0,0
Pitt,2.94,15.23,12.25,0.18,0.004020987
Polk,6.63,42.1,14.36,,
Randolph,1.19,20.02,15.15,0,0
Richmond,0.84,29,16.56,0,0
Robeson,1.69,29.99,9.74,0,0
Rockingham,1.24,23.5,13.8,0,0
Rowan,2.19,21.17,25.01,,
Rutherford,0.9,57.89,10.83,,
Sampson,7.32,29.91,8.72,0,0
Scotland,1.36,18.56,16.95,0,0
Stanly,1.3,42.21,18.4,,
Stokes,1.19,25.75,9.3,,
Surry,1.33,37.68,11.01,,
Swain,1.74,32.5,3.36,,
Transylvania,5.56,45,9.15,,
Tyrrell,0.22,31.77,11.38,0,0
Union,4.65,29.7,13.28,,
Vance,1.85,26.49,17.06,0,0
Wake,9.49,17.5,14.3,0.96,0.007978071
Warren,0.29,24.45,14.69,0,0
Washington,0.79,38.02,11.89,0,0
Watauga,2.55,31.23,12.69,,0.06
Wayne,2.13,18.94,14.24,0.07,0.002541274
Wilkes,0.92,50.01,7.02,,
Wilson,1.62,21.77,14.46,0,0
Yadkin,0.79,32.14,14.14,,
Yancey,1.25,37.86,8.99,,
