NOTE: 2000 DATA IS FROM April 2000; 2008 DATA IS AS OF APRIL 13th,,,,,,,,,,
COUNTY,Democratic Registration 2000,Republican Registration 2000,Percent Dem.,Percent Repub., Dem. Reg 2008 , Repub. Reg. 2008 ,Percent 2008 Dem,Dem. Percentage point change 2000 to 2008,Percent 2008 Repub.,Repub. Percentage point change 2000 to 2008
ADAMS,"15,356","25,565",33.34%,55.51%," 19,873.00 "," 31,764.00 ",33.56%,0.21%,53.63%,-1.88%
ALLEGHENY,"557,276","253,471",62.61%,28.48%," 567,432.00 "," 250,393.00 ",62.12%,-0.49%,27.41%,-1.07%
ARMSTRONG,"20,271","18,314",48.38%,43.71%," 20,227.00 "," 20,389.00 ",45.34%,-3.04%,45.70%,2.00%
BEAVER,"72,020","32,287",63.30%,28.38%," 68,658.00 "," 35,382.00 ",60.09%,-3.21%,30.97%,2.59%
BEDFORD,"10,348","16,540",36.07%,57.65%," 11,569.00 "," 19,529.00 ",34.34%,-1.73%,57.97%,0.32%
BERKS,"92,639","87,397",45.30%,42.74%," 114,301.00 "," 95,650.00 ",46.84%,1.54%,39.20%,-3.54%
BLAIR,"24,548","39,712",34.60%,55.97%," 28,401.00 "," 45,338.00 ",34.62%,0.02%,55.27%,-0.70%
BRADFORD,"10,279","22,230",28.55%,61.74%," 12,133.00 "," 23,412.00 ",30.63%,2.08%,59.10%,-2.63%
BUCKS,"139,569","188,285",36.73%,49.55%," 185,381.00 "," 181,696.00 ",43.36%,6.63%,42.49%,-7.06%
BUTLER,"41,301","49,458",40.78%,48.83%," 44,879.00 "," 58,382.00 ",38.63%,-2.15%,50.25%,1.42%
CAMBRIA,"56,410","28,126",62.95%,31.39%," 55,865.00 "," 27,731.00 ",61.96%,-0.99%,30.76%,-0.63%
CAMERON,"1,549","1,744",44.23%,49.80%," 1,573.00 "," 1,832.00 ",42.36%,-1.87%,49.34%,-0.46%
CARBON,"16,529","13,408",50.25%,40.76%," 19,364.00 "," 14,457.00 ",50.67%,0.43%,37.83%,-2.93%
CENTRE,"31,712","38,920",37.62%,46.18%," 39,966.00 "," 36,991.00 ",44.35%,6.72%,41.05%,-5.13%
CHESTER,"77,448","157,902",27.82%,56.71%," 113,267.00 "," 147,007.00 ",36.91%,9.09%,47.90%,-8.81%
CLARION,"9,333","11,168",42.41%,50.75%," 9,603.00 "," 11,996.00 ",40.69%,-1.72%,50.83%,0.08%
CLEARFIELD,"20,498","19,931",46.85%,45.55%," 23,080.00 "," 22,907.00 ",45.52%,-1.33%,45.18%,-0.38%
CLINTON,"8,685","9,235",44.55%,47.38%," 9,990.00 "," 9,177.00 ",47.09%,2.53%,43.26%,-4.12%
COLUMBIA,"16,335","15,406",46.05%,43.43%," 19,589.00 "," 18,818.00 ",43.91%,-2.14%,42.18%,-1.25%
CRAWFORD,"19,880","27,098",39.28%,53.54%," 25,399.00 "," 29,605.00 ",41.80%,2.52%,48.72%,-4.82%
CUMBERLAND,"37,613","74,383",29.57%,58.48%," 48,945.00 "," 75,858.00 ",34.14%,4.57%,52.91%,-5.57%
DAUPHIN,"56,839","81,136",36.90%,52.67%," 79,664.00 "," 81,269.00 ",43.37%,6.47%,44.24%,-8.43%
DELAWARE,"104,040","227,045",28.48%,62.16%," 156,608.00 "," 188,834.00 ",40.74%,12.26%,49.12%,-13.04%
ELK,"10,274","7,158",53.99%,37.61%," 11,072.00 "," 7,299.00 ",54.55%,0.57%,35.96%,-1.65%
ERIE,"88,612","66,216",52.48%,39.21%," 96,286.00 "," 61,719.00 ",54.72%,2.24%,35.07%,-4.14%
FAYETTE,"59,830","17,782",73.02%,21.70%," 61,932.00 "," 21,447.00 ",69.14%,-3.89%,23.94%,2.24%
FOREST,"1,178","1,638",39.66%,55.15%," 1,470.00 "," 1,612.00 ",44.76%,5.10%,49.09%,-6.07%
FRANKLIN,"22,152","40,421",31.71%,57.86%," 26,481.00 "," 48,919.00 ",30.92%,-0.78%,57.13%,-0.73%
FULTON,"3,277","4,180",41.42%,52.83%," 3,453.00 "," 5,422.00 ",35.88%,-5.54%,56.33%,3.50%
GREENE,"16,617","5,452",71.77%,23.55%," 17,030.00 "," 6,658.00 ",67.15%,-4.61%,26.25%,2.71%
