"GEO_ID","GEO_ID2","SUMLEVEL","GEO_NAME","DP1.C0","DP1.C1","DP1.C2","DP1.C3","DP1.C4","DP1.C5","DP1.C6","DP1.C7","DP1.C8","DP1.C9","DP1.C10","DP1.C11","DP1.C12","DP1.C13","DP1.C14","DP1.C15","DP1.C16","DP1.C17","DP1.C18","DP1.C19","DP1.C20","DP1.C21","DP1.C22","DP1.C23","DP1.C24","DP1.C25","DP1.C26","DP1.C27","DP1.C28","DP1.C29","DP1.C30","DP1.C31","DP1.C32","DP1.C33","DP1.C34","DP1.C35","DP1.C36","DP1.C37","DP1.C38","DP1.C39","DP1.C40","DP1.C41","DP1.C42","DP1.C43","DP1.C44","DP1.C45"
"Geography Identifier","Geography Identifier","Geographic Summary Level","Geography","Total population; Total","Total population; Sex and age; Male; Total","Total population; Sex and age; Female; Total","Total population; Sex and age; Under 5 years; Total","Total population; Sex and age; 5 to 9 years; Total","Total population; Sex and age; 10 to 14 years; Total","Total population; Sex and age; 15 to 19 years; Total","Total population; Sex and age; 20 to 24 years; Total","Total population; Sex and age; 25 to 34 years; Total","Total population; Sex and age; 35 to 44 years; Total","Total population; Sex and age; 45 to 54 years; Total","Total population; Sex and age; 55 to 59 years; Total","Total population; Sex and age; 60 to 64 years; Total","Total population; Sex and age; 65 to 74 years; Total","Total population; Sex and age; 75 to 84 years; Total","Total population; Sex and age; 85 years and over; Total","Total population; Sex and age; Median age (years); Total","Total population; Sex and age; 18 years and over; Total","Total population; Sex and age; 21 years and over; Total","Total population; Sex and age; 62 years and over; Total","Total population; Sex and age; 65 years and over; Total","Total population; Sex and age; 18 years and over; Total","Total population; Sex and age; 18 years and over; Male; Total","Total population; Sex and age; 18 years and over; Female; Total","Total population; Sex and age; 65 years and over; Total","Total population; Sex and age; 65 years and over; Male; Total","Total population; Sex and age; 65 years and over; Female; Total","Total population; Race; One race; Total","Total population; Race; Two or more races; Total","Total population; Total","Total population; One race; Total","Total population; One race; White; Total","Total population; One race; Black or African American; Total","Total population; One race; American Indian and Alaska Native; Total","Total population; One race; Asian; Total","Total population; One race; Native Hawaiian and Other Pacific Islander; Total","Total population; Two or more races; Total","Total population; Race alone or in combination with one or more other races; White; Total","Total population; Race alone or in combination with one or more other races; Black or African American; Total","Total population; Race alone or in combination with one or more other races; American Indian and Alaska Native; Total","Total population; Race alone or in combination with one or more other races; Asian; Total","Total population; Race alone or in combination with one or more other races; Native Hawaiian and Other Pacific Islander; Total","Total population; Total","Total population; Hispanic or Latino (of any race); Total","Total population; Not Hispanic or Latino Total; Total","Total population; Not Hispanic or Latino Total; White alone; Total"
"05000US42001","42001","050","Adams County, Pennsylvania","101105","49883","51222","5552","5812","6693","7456","7349","13438","14963","15070","6166","4672","6992","5045","1897","37.9","78667","73929","16754","13934","78667","38510","40157","13934","6077","7857","100298","807","101105","100298","97390","1890","235","758","25","807","98197","2272","468","962","25","101105","5206","95899","92504"
"05000US42003","42003","050","Allegheny County, Pennsylvania","1223411","583035","640376","66297","69539","75591","85043","79841","123175","170171","200763","85331","59590","91365","81869","34836","41.8","963327","908534","244484","208070","963327","449922","513405","208070","81298","126772","1210032","13379","1223411","1210032","1016452","162517","2447","28035","581","13379","1027520","171507","6064","31668","1552","1223411","15092","1208319","1005505"
"05000US42005","42005","050","Armstrong County, Pennsylvania","70096","34285","35811","3476","3739","4416","4241","3863","8109","9557","11407","5072","3547","5835","4899","1935","42.9","55662","53539","14816","12669","55662","26827","28835","12669","5224","7445","69724","372","70096","69724","68809","699","78","123","15","372","69181","856","227","184","21","70096","356","69740","68506"
"05000US42007","42007","050","Beaver County, Pennsylvania","175736","84401","91335","8931","9543","11079","11547","10143","18049","23991","29332","12314","8953","14639","12619","4596","43.0","138917","132533","37325","31854","138917","65469","73448","31854","12925","18929","173742","1994","175736","173742","161873","10968","233","641","27","1994","163724","12410","785","840","30","175736","1628","174108","160626"
"05000US42009","42009","050","Bedford County, Pennsylvania","49927","24718","25209","2579","2956","3121","3070","2646","6349","6905","7713","3244","2771","4332","3122","1119","41.3","39179","37711","10286","8573","39179","19095","20084","8573","3728","4845","49660","267","49927","49660","49193","215","78","168","6","267","49460","284","239","209","7","49927","303","49624","48923"
"05000US42011","42011","050","Berks County, Pennsylvania","401149","197298","203851","24799","24261","27275","29886","26691","50752","58774","58867","25485","18207","26586","20429","9137","38.0","307242","289140","67088","56152","307242","149113","158129","56152","23647","32505","396967","4182","401149","396967","370848","19738","958","5094","329","4182","374742","22446","1951","5889","445","401149","51436","349713","325319"
"05000US42013","42013","050","Blair County, Pennsylvania","126494","60917","65577","7242","7109","7684","8580","7346","15790","16715","19186","8875","6377","9805","8346","3439","41.0","99473","94260","25502","21590","99473","47094","52379","21590","8516","13074","125526","968","126494","125526","122896","1833","140","629","28","968","123862","2303","443","833","30","126494","790","125704","122230"
"05000US42015","42015","050","Bradford County, Pennsylvania","62471","30546","31925","3743","3688","4300","4161","3469","6952","8618","9559","4339","3431","5214","3538","1459","41.1","47891","45970","12268","10211","47891","23104","24787","10211","4374","5837","62074","397","62471","62074","61223","288","207","352","4","397","61617","389","434","427","7","62471","407","62064","60863"
"05000US42017","42017","050","Bucks County, Pennsylvania","623205","307721","315484","34945","38726","43409","43757","37056","65119","96600","106241","43455","31457","42621","29282","10537","40.5","477698","455367","101474","82440","477698","233123","244575","82440","35664","46776","617770","5435","623205","617770","573109","22369","1011","21068","213","5435","578024","24981","2376","23146","407","623205","19262","603943","555639"
