state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,other-d,richardson,uncommitted-d,giuliani,huckabee,hunter,mccain,paul,romney,tancredo,thompson
IA,*,1781,1754,,,,,,,,,,,4097,40841,524,15559,11817,29949,5,15904
IA,*,1781,1781,23,737,1,744,0,0,940,0,53,3,,,,,,,,
IA,Adair,5,5,0,176,0,232,0,0,192,0,0,0,6,80,0,25,11,48,0,68
IA,Adams,11,11,12,108,0,114,0,0,42,0,24,0,4,76,1,21,14,44,0,26
IA,Allamakee,11,11,30,375,0,300,0,0,495,0,0,0,11,113,2,58,88,117,0,29
IA,Appanoose,13,13,0,312,0,568,0,0,183,0,37,0,16,262,0,39,41,53,0,62
IA,Audubon,4,4,31,167,0,125,0,0,177,0,0,0,5,68,1,29,13,52,0,26
IA,Benton,19,19,58,661,0,834,0,0,661,0,86,0,47,341,2,83,109,204,0,188
IA,Black Hawk,63,63,167,3259,0,3176,0,0,4986,0,111,0,70,1046,10,318,308,814,0,436
IA,Boone,16,16,0,840,0,754,0,0,737,0,69,0,19,543,8,118,149,279,0,192
IA,Bremer,16,16,126,588,0,609,0,0,735,0,42,0,21,271,2,117,76,266,2,129
IA,Buchanan,15,15,0,627,0,667,0,0,707,0,0,0,26,151,5,52,58,142,0,90
IA,Buena Vista,13,13,12,324,0,372,0,0,444,0,48,0,4,224,2,94,64,156,0,145
IA,Butler,12,12,11,352,0,396,0,0,319,0,22,0,14,199,7,56,44,105,0,117
IA,Calhoun,11,11,51,244,0,227,0,0,244,0,34,0,14,151,2,42,56,57,0,56
IA,Carroll,13,13,0,444,0,495,0,0,557,0,103,0,25,155,1,134,45,139,0,88
IA,Cass,13,13,0,252,0,360,0,0,288,0,0,0,76,188,0,89,61,146,0,112
IA,Cedar,11,11,0,434,0,480,0,0,640,0,46,0,14,146,2,69,90,216,0,84
IA,Cerro Gordo,26,26,18,1785,0,1398,0,0,1398,0,0,0,77,545,1,379,163,323,0,192
IA,Cherokee,7,7,0,389,0,256,0,0,356,0,0,0,11,179,0,86,58,148,0,68
IA,Chickasaw,13,12,,,,,,,,,,,7,78,2,67,31,85,0,60
IA,Chickasaw,13,13,26,468,0,377,0,0,429,0,0,0,,,,,,,,
IA,Clarke,7,7,10,210,0,380,0,0,170,0,30,0,3,161,2,21,37,69,0,44
IA,Clay,13,13,42,353,0,325,0,0,480,0,0,0,25,254,0,99,51,132,0,111
IA,Clayton,14,13,,,,,,,,,,,23,114,3,82,73,152,0,60
IA,Clayton,14,14,53,440,0,387,0,0,693,0,27,0,,,,,,,,
IA,Clinton,30,27,,,,,,,,,,,29,268,1,162,108,388,0,148
IA,Clinton,30,30,30,1543,0,1335,0,0,1692,0,0,0,,,,,,,,
IA,Crawford,16,16,0,329,0,388,0,0,259,0,24,0,7,130,2,67,45,106,0,91
IA,Dallas,27,27,0,975,0,1248,0,0,1365,0,312,0,152,1258,18,523,292,1262,1,464
IA,Davis,8,8,10,134,0,355,0,0,101,0,0,0,5,149,1,16,54,13,0,26
IA,Decatur,13,13,25,126,0,240,0,0,171,0,38,0,5,116,1,33,44,123,0,26
IA,Delaware,14,14,0,450,0,480,0,0,540,0,15,15,12,140,1,60,50,216,0,61
IA,Des Moines,19,19,0,1210,0,1251,0,0,1640,0,0,0,25,431,10,118,103,304,0,162
IA,Dickinson,10,10,0,403,0,438,0,0,543,0,18,0,32,171,1,166,57,154,0,70
IA,Dubuque,39,39,193,2796,0,2700,0,0,3246,0,64,0,74,349,13,444,295,989,0,215
IA,Emmet,11,11,0,272,0,272,0,0,256,0,0,0,4,76,5,34,22,58,0,54
IA,Fayette,25,24,,,,,,,,,,,14,211,3,88,63,159,0,95
IA,Fayette,25,25,41,442,10,627,0,0,617,0,62,0,,,,,,,,
IA,Floyd,9,9,50,567,0,467,0,0,417,0,0,0,29,169,0,63,35,97,0,70
IA,Franklin,14,13,,,,,,,,,,,17,160,1,54,75,111,0,78
IA,Franklin,14,14,0,230,0,300,0,0,270,0,0,0,,,,,,,,
IA,Fremont,8,8,8,208,0,123,0,0,146,0,8,8,5,55,2,26,23,53,0,26
IA,Greene,7,7,12,197,0,258,0,0,283,0,49,0,10,150,4,59,74,103,0,60
IA,Grundy,7,7,0,210,0,250,0,0,310,0,30,0,17,356,2,54,84,113,0,98
IA,Guthrie,8,8,0,285,0,330,0,0,255,0,30,0,18,178,2,52,78,121,0,131
IA,Hamilton,13,13,0,404,0,420,0,0,560,0,16,0,25,306,5,98,66,155,0,159
IA,Hancock,10,10,0,305,0,263,0,0,277,0,55,0,11,257,0,56,50,68,0,75
IA,Hardin,8,8,0,459,0,426,0,0,515,0,0,0,14,424,0,110,46,120,0,130
IA,Harrison,13,12,,,,,,,,,,,14,167,1,44,65,183,0,55
IA,Harrison,13,13,0,400,0,333,0,0,267,0,0,0,,,,,,,,
IA,Henry,9,9,0,382,0,458,0,0,547,0,13,0,24,374,2,77,90,152,0,66
IA,Howard,10,10,0,374,0,277,0,0,249,0,0,0,1,64,4,44,29,59,0,57
IA,Humboldt,11,11,0,233,0,264,0,0,202,0,0,0,4,175,0,45,25,99,0,54
IA,Ida,7,7,0,150,0,183,0,0,167,0,0,0,5,86,0,43,20,88,0,61
IA,Iowa,11,9,,,,,,,,,,,33,199,3,36,71,150,0,106
IA,Iowa,11,11,0,377,0,390,0,0,520,0,13,0,,,,,,,,
IA,Jackson,16,16,27,507,0,587,0,0,880,0,0,0,17,129,6,57,93,210,0,40
IA,Jasper,21,21,0,938,0,1526,0,0,896,0,140,0,27,802,5,162,113,319,0,242
IA,Jefferson,12,12,27,245,0,545,0,0,682,0,0,0,25,263,3,38,298,132,0,80
IA,Johnson,57,56,,,,,,,,,,,272,883,10,611,605,1248,0,351
IA,Johnson,57,57,0,2804,0,3285,0,0,7170,0,240,200,,,,,,,,
IA,Jones,17,17,0,595,16,548,0,0,642,0,0,0,21,168,1,70,70,249,0,97
IA,Keokuk,16,15,,,,,,,,,,,12,166,1,40,56,64,0,54
IA,Keokuk,16,16,25,258,0,308,0,0,197,0,12,0,,,,,,,,
IA,Kossuth,22,22,43,388,0,431,0,0,506,0,32,0,6,297,9,70,23,96,0,71
IA,Lee,22,21,,,,,,,,,,,15,284,7,91,91,192,0,128
IA,Lee,22,22,22,1228,0,1053,0,0,1097,0,0,0,,,,,,,,
IA,Linn,86,86,99,5682,0,5715,0,0,8606,0,99,0,402,2021,25,958,847,2407,0,1164
IA,Louisa,8,8,0,272,0,240,0,0,256,0,16,16,5,156,1,48,22,106,0,56
IA,Lucas,8,8,10,240,0,270,0,0,140,0,30,10,9,212,2,34,28,56,0,65
IA,Lyon,8,8,0,107,0,173,0,0,120,0,0,0,3,214,0,113,28,101,1,49
IA,Madison,10,10,0,282,0,424,0,0,353,0,141,0,31,395,12,96,85,146,0,139
IA,Mahaska,11,11,0,409,0,433,0,0,371,0,87,0,12,815,8,104,90,142,1,182
IA,Marion,17,7,,,,,,,,,,,8,1136,9,169,148,301,0,263
IA,Marion,17,17,0,720,0,730,0,0,820,0,30,0,,,,,,,,
IA,Marshall,19,19,0,953,0,967,0,0,1223,0,57,0,28,655,10,187,110,495,0,242
IA,Mills,11,11,0,296,0,202,0,0,187,0,16,0,25,155,0,76,52,126,0,98
IA,Mitchell,14,14,0,375,0,325,0,0,300,0,0,0,13,105,2,86,55,47,0,47
IA,Monona,11,10,,,,,,,,,,,8,95,0,38,20,117,0,50
IA,Monona,11,11,20,300,0,210,0,0,250,0,20,0,,,,,,,,
IA,Monroe,7,7,9,166,0,249,0,0,157,0,18,0,4,142,0,14,29,35,0,37
IA,Montgomery,7,7,18,231,0,138,0,0,212,0,0,0,14,124,0,58,45,142,0,31
IA,Muscatine,25,25,0,1024,21,661,0,0,1429,0,43,21,73,366,4,166,141,370,0,124
IA,O'Brien,9,9,13,267,0,191,0,0,191,0,38,0,3,335,3,54,48,83,0,75
IA,Osceola,9,9,0,115,0,115,0,0,70,0,0,0,4,78,1,37,66,52,0,17
IA,Page,11,11,47,233,0,196,0,0,215,0,9,0,13,190,0,69,56,148,0,36
IA,Palo Alto,10,10,69,283,0,183,0,0,238,0,27,0,8,74,2,44,23,76,0,68
IA,Plymouth,13,13,20,440,0,320,0,0,520,0,0,0,30,304,3,201,101,415,0,171
IA,Pocahontas,11,11,60,192,0,216,0,0,108,0,12,12,2,141,2,29,80,64,0,55
IA,Polk,183,182,,,,,,,,,,,912,8039,117,3318,1998,5263,0,2846
IA,Polk,183,183,328,9935,0,10233,0,0,14081,0,1223,0,,,,,,,,
IA,Pottawattamie,41,41,22,2321,11,1694,0,0,1452,0,0,0,154,571,18,352,300,854,0,355
IA,Poweshiek,10,10,68,306,0,589,0,0,737,0,0,0,28,352,1,100,61,167,0,121
IA,Ringgold,7,7,0,169,0,263,0,0,31,0,38,0,3,77,2,17,18,35,0,29
IA,Sac,9,9,0,252,0,203,0,0,231,0,14,0,4,165,1,52,34,87,0,102
IA,Scott,63,63,162,4179,0,3002,0,0,6857,0,0,0,281,1285,19,1060,484,1755,0,716
IA,Shelby,9,9,0,288,0,232,0,0,280,0,0,0,8,199,18,44,33,88,0,56
IA,Sioux,19,19,0,224,0,187,0,0,261,0,19,9,26,1147,3,346,137,307,0,213
IA,Story,43,43,43,1733,0,2032,0,0,3101,0,791,0,135,1848,23,511,561,1069,0,492
IA,Tama,16,16,0,414,0,621,0,0,565,0,0,0,20,258,10,76,48,158,0,137
IA,Taylor,8,8,0,175,0,175,0,0,100,0,50,0,3,56,0,14,14,45,0,33
IA,Union,9,9,68,304,0,293,0,0,225,0,11,0,14,158,0,56,47,85,0,53
IA,Van Buren,8,8,17,150,0,250,0,0,67,0,0,17,7,108,3,32,64,55,0,32
IA,Wapello,21,21,0,992,0,1323,0,0,754,0,21,10,22,568,0,44,96,157,0,61
IA,Warren,25,25,0,991,0,1371,0,0,1208,0,204,27,60,1184,16,232,241,478,0,425
IA,Washington,10,10,0,468,0,468,0,0,615,0,49,0,33,285,3,68,115,179,0,145
IA,Wayne,10,10,7,180,0,200,0,0,87,0,27,0,1,160,1,22,19,31,0,24
IA,Webster,29,29,13,973,0,987,0,0,1080,0,147,0,56,453,6,178,75,269,0,188
IA,Winnebago,11,11,18,315,0,261,0,0,279,0,27,0,8,245,2,69,40,80,0,68
IA,Winneshiek,14,13,,,,,,,,,,,15,122,2,108,69,201,0,91
IA,Winneshiek,14,14,14,381,0,449,0,0,748,0,109,0,,,,,,,,
IA,Woodbury,44,44,20,2480,0,1880,0,0,2420,0,0,0,107,780,17,422,275,1309,0,565
IA,Worth,9,8,,,,,,,,,,,1,69,1,39,7,35,0,27
IA,Worth,9,9,0,288,0,256,0,0,213,0,43,0,,,,,,,,
IA,Wright,12,12,24,329,0,259,0,0,376,0,12,0,5,243,0,29,54,112,0,72
