
county,precincts,reporting,clinton,dodd,gravel,kucinich,uncommitted-d,brownback,giuliani,huckabee,hunter,mccain,paul,romney,trancredo,thompson,uncommitted-r
*,5385,5385,328151,3853,2363,21708,236723,354,24706,139699,2823,257521,54434,337847,458,32135,17971
Alcona,12,12,425,3,4,16,168,3,17,233,0,468,56,453,2,42,38
Alger,9,9,305,5,3,22,144,1,14,153,2,308,32,170,2,31,17
Allegan,46,46,2233,20,21,114,1374,2,207,2742,37,4071,550,4000,5,467,213
Alpena,18,18,1001,17,8,36,443,2,45,378,10,901,144,938,0,108,57
Antrim,16,16,584,10,12,51,341,4,66,461,1,1100,167,1384,0,158,47
Arenac,15,15,509,11,6,6,197,0,42,205,7,430,67,444,4,41,15
Baraga,8,8,281,6,5,12,132,0,30,114,2,249,42,155,0,28,13
Barry,26,26,1470,29,14,74,840,2,111,1346,24,2333,364,2253,3,324,150
Bay,75,75,5466,98,43,170,2333,4,266,1232,27,2365,614,3835,6,294,248
Benzie,13,13,531,6,2,87,441,0,50,251,5,764,112,678,0,83,37
Berrien,69,69,3537,50,28,154,2587,3,527,2640,54,5185,784,3960,6,716,469
Branch,22,22,982,15,8,26,372,3,68,848,15,1298,222,1048,4,151,77
Calhoun,61,61,3056,52,30,162,2024,3,224,1691,46,4119,732,3931,6,411,159
Cass,23,23,1431,27,9,61,820,3,168,1010,16,1636,283,1104,1,240,167
Charlevoix,20,20,585,14,9,51,428,10,60,358,13,1089,146,1121,11,121,51
Cheboygan,22,22,794,11,7,50,356,1,49,409,12,1026,175,1054,1,95,48
Chippewa,20,20,951,15,15,52,413,0,71,486,8,1027,132,1082,2,175,52
Clare,26,26,851,12,9,33,322,3,31,487,10,837,84,877,0,110,49
Clinton,32,32,1838,34,12,98,1065,8,182,1800,33,2318,357,2816,3,334,143
Crawford,11,11,383,6,1,17,193,0,32,201,5,568,57,440,0,45,19
Delta,23,23,1073,13,16,40,478,1,90,451,5,877,111,814,1,128,44
Dickinson,16,16,776,12,10,35,284,2,57,503,7,850,168,548,0,134,34
