state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,other-d,richardson,uncommitted-d,curry,gilbert,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson,uncommitted-r
KS,*,66,66,,,,,,,,,,,,,34,11627,,288,4587,2182,653,,61,84
KS,CD1,40,40,,,,,,,,,,,,,16,3415,,58,1272,537,125,,11,32
KS,CD2,12,12,,,,,,,,,,,,,4,2186,,39,982,484,175,,18,15
KS,CD3,6,6,,,,,,,,,,,,,12,2885,,96,1476,684,283,,21,27
KS,CD4,8,8,,,,,,,,,,,,,2,3141,,95,857,477,70,,11,10
LA,*,3966,3966,6179,136959,1925,13034,,1405,220588,,4258,,521,183,1593,69665,368,841,67609,8595,10232,108,1604,
LA,Acadia,59,59,100,2030,32,213,,15,1957,,53,,5,4,8,659,5,8,549,51,79,1,19,
LA,Allen,30,30,45,978,13,92,,9,757,,30,,0,0,2,262,0,1,145,14,14,0,2,
LA,Ascension,61,61,122,2793,41,248,,20,3725,,84,,6,2,32,1689,7,14,1182,223,220,5,38,
LA,Assumption,23,23,53,899,22,77,,4,1178,,21,,1,0,3,112,1,1,156,18,12,0,4,
LA,Avoyelles,45,45,70,1499,22,114,,15,1471,,28,,0,2,16,235,2,1,308,16,26,0,12,
LA,Beauregard,45,45,40,1202,8,133,,10,732,,40,,2,2,9,755,2,7,433,34,54,0,6,
LA,Bienville,26,26,46,642,10,56,,12,963,,22,,2,0,3,326,0,2,135,34,13,1,4,
LA,Bossier,66,66,77,2568,18,228,,7,2615,,92,,12,1,31,2684,13,15,1459,152,314,3,41,
LA,Caddo,154,154,279,7518,78,495,,63,14600,,220,,27,6,81,5515,20,33,3665,430,741,7,83,
LA,Calcasieu,118,118,221,7282,68,436,,47,8179,,173,,13,7,39,3000,11,37,2234,282,344,5,59,
LA,Caldwell,19,19,27,441,3,83,,3,313,,27,,1,0,1,236,0,2,155,11,9,1,2,
LA,Cameron,13,13,6,445,4,49,,1,118,,18,,0,0,1,74,0,0,50,9,6,0,3,
LA,Catahoula,29,29,27,418,6,57,,2,367,,23,,1,0,2,155,2,2,82,7,1,0,3,
LA,Claiborne,28,28,27,441,12,58,,5,726,,31,,2,0,2,380,2,0,135,9,22,0,2,
LA,Concordia,21,21,83,914,28,261,,18,1555,,72,,4,3,11,451,0,5,368,28,34,0,7,
LA,DeSoto,51,51,24,858,10,101,,7,1327,,44,,4,0,2,595,0,3,228,28,35,1,6,
LA,East Baton Rouge,314,314,1075,16254,288,2394,,284,37230,,931,,76,29,438,10716,69,232,14851,2162,2570,17,370,
LA,East Carroll,24,24,19,222,5,13,,1,491,,7,,1,0,1,94,0,0,65,3,6,1,3,
LA,East Feliciana,23,23,57,879,19,167,,14,1424,,44,,4,1,11,422,1,5,349,57,41,1,13,
LA,Evangeline,59,59,70,1189,27,98,,15,1370,,34,,1,1,3,301,2,5,304,12,33,1,6,
LA,Franklin,28,28,40,702,15,141,,10,766,,21,,4,0,2,491,1,1,242,39,26,0,3,
LA,Grant,23,23,35,609,5,122,,9,316,,36,,0,2,3,348,3,3,184,19,25,1,6,
LA,Iberia,59,59,114,1674,28,146,,20,3719,,37,,18,7,26,791,10,19,733,84,138,3,30,
LA,Iberville,44,44,106,1178,18,108,,17,2954,,40,,5,1,8,221,0,5,240,32,29,1,8,
LA,Jackson,29,29,28,526,9,96,,5,752,,22,,3,1,5,543,1,2,169,10,23,1,7,
LA,Jeff Davis,23,23,48,1183,11,137,,15,954,,17,,1,0,2,374,3,6,334,19,50,0,8,
LA,Jefferson,268,268,380,12913,116,755,,73,15738,,196,,49,18,158,5218,35,95,8641,911,993,12,145,
LA,Lafayette,119,119,192,4888,65,332,,44,8378,,132,,32,13,68,3053,18,52,3306,521,596,3,92,
LA,Lafourche,71,71,101,3654,27,272,,31,1716,,57,,7,2,19,696,10,8,743,122,103,2,17,
LA,LaSalle,29,29,23,418,22,119,,2,178,,35,,0,1,4,348,1,0,150,7,16,0,0,
