state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,Uncommitted-D,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
DC,*,142,139,,27326,,285,,172,85534,132,297,90,961,,,3929,471,350,,
MD,*,1829,1782,3428,285440,720,8869,732,1723,464474,1889,10400,3821,86573,483,3012,163677,17865,18728,343,2715
MD,Allegany,36,36,43,3301,12,223,18,22,1797,21,267,70,2409,7,65,3098,162,217,7,40
MD,Anne Arundel,189,187,343,27421,68,1082,74,161,32959,222,1368,537,10207,59,377,23779,2406,2843,39,350
MD,Baltimore,219,218,595,49044,136,1743,124,264,68494,315,1887,595,9719,49,355,20194,3738,3374,45,345
MD,Baltimore City,290,288,405,23830,88,483,80,282,75681,186,501,155,1386,31,204,2724,543,476,15,56
MD,Calvert,23,23,43,4443,9,193,11,22,4593,36,142,80,2068,12,54,3829,228,258,11,82
MD,Caroline,8,8,51,1359,9,77,8,11,1283,17,114,35,988,4,43,1318,140,229,6,31
MD,Carroll,46,46,75,6600,19,347,25,42,6256,59,350,193,5216,19,124,7914,1438,1190,12,158
MD,Cecil,19,19,129,4737,14,176,14,17,2589,23,263,97,2439,11,41,3182,415,292,5,38
MD,Charles,36,36,69,6666,13,218,9,28,13952,33,331,89,2594,10,103,4651,278,278,11,91
MD,Dorchester,31,31,48,1791,10,86,7,16,2203,21,150,43,892,7,37,1636,82,155,4,19
MD,Frederick,66,66,105,10891,21,412,33,53,11576,93,459,223,7297,41,181,10509,961,1291,20,223
MD,Garrett,19,19,11,927,7,71,6,4,573,9,62,46,1549,7,43,1613,130,98,3,33
MD,Harford,72,72,226,12486,38,617,33,78,12581,93,665,264,6392,20,179,10809,2144,1366,14,163
MD,Howard,110,110,123,16854,27,367,32,60,24812,122,406,207,5010,23,138,10963,1301,1322,22,160
MD,Kent,10,10,51,1170,2,83,4,9,1482,10,83,43,389,8,24,1144,91,176,0,21
MD,Montgomery,245,245,384,66192,76,890,89,279,84287,283,1027,454,9101,71,443,26111,1776,2467,61,393
MD,Prince George's,223,181,229,23965,65,459,65,221,94741,138,569,137,3113,37,209,4846,445,483,28,146
MD,Queen Anne's,17,17,79,2393,10,139,13,20,2141,20,195,75,1327,4,48,3185,295,468,6,48
MD,Somerset,22,22,29,1204,11,69,10,10,1494,12,89,22,671,2,29,847,28,42,1,14
