state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,Uncommitted-D,Uninstructed-D,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson,Uninstructed-R
HI,*,78,78,,8835,,41,,138,28347,,65,,,,,,,,,,,
HI,Hawaii,21,21,,1636,,12,,36,5174,,15,,,,,,,,,,,
HI,Honolulu,35,35,,5426,,24,,69,16854,,40,,,,,,,,,,,
HI,Kauai,11,11,,583,,1,,13,2030,,2,,,,,,,,,,,
HI,Maui,11,11,,1190,,4,,20,4289,,8,,,,,,,,,,,
WA,*,7150,5138,3988,294718,567,10983,975,3688,327553,1866,,,6755,114221,938,1977,238555,36526,82143,,4287,
WA,Adams,12,12,5,529,0,30,2,3,410,7,,,19,392,4,8,861,112,320,,14,
WA,Asotin,22,20,7,1329,5,73,6,7,1286,4,,,26,605,10,11,1362,263,421,,14,
WA,Benton,163,134,36,5876,21,321,14,41,5468,51,,,275,4645,45,86,9323,1204,4838,,220,
WA,Chelan,71,63,15,2334,7,77,6,25,3028,19,,,62,2039,35,27,3765,421,1121,,62,
WA,Clallam,83,72,31,4345,14,191,23,99,5224,40,,,108,2079,22,51,4341,708,1822,,82,
WA,Clark,396,305,118,21308,31,893,62,190,19722,117,,,317,10189,89,168,16760,2479,7676,,301,
WA,Columbia,5,4,4,195,1,21,2,1,264,5,,,26,180,3,8,399,61,147,,10,
WA,Cowlitz,103,63,26,5747,12,224,15,34,3940,34,,,68,1848,6,28,2893,385,1217,,66,
WA,Douglas,32,30,15,1334,5,54,6,8,1384,9,,,49,1075,5,16,2035,263,676,,52,
WA,Ferry,8,6,2,362,3,17,6,11,414,3,,,9,287,4,9,498,181,109,,12,
WA,Franklin,40,31,11,1535,6,84,7,6,1288,21,,,61,1200,8,17,2046,302,1069,,54,
WA,Garfield,3,2,4,121,9,9,1,0,100,0,,,7,110,0,5,191,32,62,,3,
WA,Grant,62,57,25,2566,8,102,25,16,2133,20,,,92,1847,11,48,3306,874,1728,,93,
WA,Grays Harbor,70,50,23,4251,16,165,9,48,3244,19,,,44,1310,12,26,2446,317,638,,38,
