
state,county,precincts,reporting,biden,clinton,dodd,edwards,kucinich,obama,richardson,uncommitted-d,cort,giuliani,huckabee,hunter,keyes,mccain,paul,romney,thompson,tran,uncommitted-r
OH,*,11238,3584,,,,,,,,,,,132981,,,251712,20031,14025,6687,,
OH,*,11238,3920,,434398,,15024,,313349,,,,,,,,,,,,,
OH,Adams,35,28,,2246,,111,,665,,,,,1167,,,1402,50,51,17,,
OH,Allen,121,121,,7023,,345,,6499,,,,,3957,,,7053,803,637,273,,
OH,Ashland,65,41,,,,,,,,,,,1806,,,2571,330,167,84,,
OH,Ashland,65,44,,2817,,104,,1812,,,,,,,,,,,,,
OH,Ashtabula,127,45,,6737,,234,,3383,,,,,1773,,,2824,410,106,75,,
OH,Athens,71,25,,,,,,,,,,,371,,,745,143,28,6,,
OH,Athens,71,51,,5419,,281,,4657,,,,,,,,,,,,,
OH,Auglaize,40,40,,2668,,166,,1823,,,,,1641,,,2904,472,193,68,,
OH,Belmont,83,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Brown,35,35,,5352,,271,,1876,,,,,1901,,,2520,171,101,69,,
OH,Butler,302,1,,,,,,,,,,,1157,,,2850,95,166,39,,
OH,Butler,302,2,,2480,,74,,2066,,,,,,,,,,,,,
OH,Carroll,26,20,,2832,,180,,1358,,,,,1033,,,1677,173,87,63,,
OH,Champaign,28,28,,3513,,161,,2197,,,,,2287,,,3530,196,144,122,,
OH,Clark,100,96,,13731,,444,,8945,,,,,4826,,,7291,382,346,186,,
OH,Clermont,200,182,,14049,,390,,8361,,,,,7780,,,13901,903,792,412,,
OH,Clinton,38,12,,794,,24,,463,,,,,509,,,738,36,26,20,,
OH,Columbiana,103,60,,8220,,316,,3069,,,,,1909,,,3019,372,168,117,,
OH,Coshocton,43,43,,4054,,188,,1952,,,,,1600,,,2524,217,107,81,,
OH,Crawford,46,12,,991,,62,,619,,,,,421,,,600,43,33,25,,
OH,Cuyahoga,1434,0,,,,,,,,,,,3045,,,14229,688,566,135,,
OH,Cuyahoga,1434,1,,30086,,838,,28486,,,,,,,,,,,,,
OH,Darke,43,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Defiance,42,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
