
state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
MS,*,1912,1912,1784,155686,731,3894,587,895,255809,1365,945,17943,414,842,113074,5510,2177,221,2160
MS,Adams,20,20,13,1477,9,48,10,19,4529,9,4,137,3,5,1028,111,30,2,9
MS,Alcorn,16,16,30,3588,10,64,3,5,1016,13,2,176,5,13,910,50,15,1,9
MS,Amite,21,21,27,928,13,31,13,6,1719,31,5,136,0,6,810,12,22,1,9
MS,Attala,21,21,24,1393,12,43,7,8,2050,17,6,76,1,7,575,10,4,9,0
MS,Benton,5,5,14,859,4,22,3,6,658,2,0,31,0,2,116,2,0,0,3
MS,Bolivar,28,28,20,1384,11,26,8,22,4987,11,2,34,0,0,276,10,4,0,6
MS,Calhoun,10,10,25,1439,4,36,3,11,1168,22,1,132,1,7,653,22,4,0,5
MS,Carroll,14,14,13,890,2,12,5,5,1079,8,2,29,0,2,230,7,1,1,2
MS,Chickasaw,15,15,20,1598,7,54,6,8,2157,15,3,89,1,4,541,14,6,0,11
MS,Choctaw,13,13,9,621,3,31,4,5,748,11,3,92,1,4,455,11,3,0,7
MS,Claiborne,9,9,10,479,7,20,4,10,2237,17,0,7,0,0,34,1,0,2,0
MS,Clarke,23,23,10,972,6,20,4,8,1960,13,9,132,1,5,869,28,6,1,5
MS,Clay,14,14,36,1146,14,63,8,17,3583,13,2,110,3,6,766,22,9,2,12
MS,Coahoma,19,19,20,1350,11,58,12,21,3402,31,1,14,0,0,76,4,1,0,2
MS,Copiah,19,19,24,1662,9,60,8,19,4002,19,4,95,5,3,823,27,11,0,9
MS,Covington,17,17,14,1311,6,22,8,7,1924,7,7,93,3,2,636,41,9,1,9
MS,DeSoto,38,38,13,4410,7,41,5,5,3669,8,97,2107,38,55,8489,562,175,4,232
MS,Forrest,33,33,20,3584,9,43,6,10,5552,19,12,195,3,4,1020,117,36,3,33
MS,Franklin,14,14,15,600,6,33,4,2,901,6,2,86,0,4,535,9,2,2,2
MS,George,22,22,20,1670,13,55,4,4,495,18,7,140,0,4,509,27,6,0,3
MS,Greene,14,14,8,1149,8,52,2,3,711,8,1,76,2,2,376,10,12,0,0
MS,Grenada,16,16,22,1290,6,23,5,8,2243,18,7,114,1,8,847,20,7,1,6
MS,Hancock,26,26,11,2836,2,72,7,8,1255,9,14,127,2,9,702,81,20,0,13
MS,Harrison,66,66,48,8070,12,87,7,12,9762,32,42,509,24,33,3035,399,150,3,63
MS,Hinds,118,118,89,9072,26,136,20,54,39599,58,63,806,22,54,7286,375,197,10,174
MS,Holmes,17,17,35,807,12,27,12,12,3777,15,0,17,1,3,128,4,1,0,2
MS,Humphreys,13,13,15,533,5,21,4,6,1795,8,1,8,0,0,58,0,0,0,3
MS,Issaquena,5,5,7,129,1,6,0,1,284,3,0,2,0,0,25,1,0,0,1
MS,Itawamba,26,26,19,2643,7,110,6,6,505,15,10,214,1,7,947,19,7,1,19
MS,Jackson,43,43,48,6315,18,131,11,25,8146,43,53,642,21,34,3750,418,143,4,70
MS,Jasper,19,19,24,1172,8,28,7,21,2774,12,2,48,0,5,381,14,6,2,4
MS,Jeff Davis,21,21,25,811,8,32,8,9,2487,14,7,73,0,4,511,13,7,1,7
MS,Jefferson,15,15,7,263,3,9,2,3,2111,3,0,4,0,0,45,0,0,0,0
MS,Jones,46,46,34,5388,23,94,17,20,4474,31,14,199,17,16,1148,147,33,17,47
MS,Kemper,15,15,20,458,11,14,5,9,1793,3,3,68,1,5,548,13,4,0,5
