
state,county,precincts,reporting,clinton,gravel,obama,nopreference-d,huckabee,keyes,mccain,paul,romney,nopreference-r
IN,*,5230,5224,641734,,623294,,41063,,318374,31557,19507,
IN,Adams,25,25,3147,,2283,,403,,1735,292,141,
IN,Allen,294,294,27493,,35041,,2044,,13842,2821,1415,
IN,Bartholomew,67,67,6899,,5985,,658,,4999,266,380,
IN,Benton,15,15,625,,557,,177,,1124,120,82,
IN,Blackford,12,12,1940,,1024,,60,,406,48,28,
IN,Boone,49,49,4453,,4846,,500,,4744,282,274,
IN,Brown,12,12,2009,,1991,,144,,1076,84,57,
IN,Carroll,19,19,2033,,1625,,254,,1466,117,85,
IN,Cass,39,39,3976,,2513,,408,,2934,243,153,
IN,Clark,73,73,18086,,8707,,320,,2721,128,127,
IN,Clay,23,23,4011,,2028,,270,,1333,132,53,
IN,Clinton,39,39,2562,,1710,,505,,3088,219,184,
IN,Crawford,17,17,2140,,775,,48,,436,16,10,
IN,Daviess,28,28,2213,,1493,,353,,2607,101,90,
IN,Dearborn,45,45,5270,,1782,,432,,3827,287,246,
IN,Decatur,20,20,2326,,1274,,319,,2407,136,125,
IN,DeKalb,39,39,3427,,2557,,500,,2558,502,230,
IN,Delaware,75,75,14743,,12971,,591,,5450,415,303,
IN,Dubois,38,38,5472,,4463,,133,,1160,76,86,
IN,Elkhart,110,110,11180,,16026,,2208,,12455,1350,775,
IN,Fayette,28,28,3267,,1562,,167,,1256,78,45,
IN,Floyd,60,60,12334,,6452,,270,,2561,121,130,
IN,Fountain,22,22,1835,,1204,,282,,1251,96,60,
IN,Franklin,24,24,2594,,1182,,164,,1409,115,65,
IN,Fulton,17,17,2164,,1523,,169,,1094,103,62,
IN,Gibson,38,38,5524,,2676,,134,,891,62,32,
IN,Grant,68,68,6362,,5494,,881,,5290,448,336,
IN,Greene,32,32,4326,,2343,,371,,2217,146,88,
IN,Hamilton,196,195,16491,,25350,,2000,,23240,1682,1578,
IN,Hancock,38,37,6105,,4065,,750,,7204,598,439,
IN,Harrison,36,36,6822,,2679,,233,,1879,94,73,
IN,Hendricks,99,99,11677,,10913,,1146,,10083,730,629,
IN,Henry,42,42,6724,,3493,,484,,3882,300,185,
IN,Howard,71,71,10361,,8035,,717,,4645,601,301,
IN,Huntington,34,34,2907,,2286,,553,,3695,503,290,
IN,Jackson,33,33,5573,,2784,,282,,2061,136,89,
IN,Jasper,29,29,2913,,1539,,427,,2454,298,146,
IN,Jay,21,21,2256,,1379,,191,,1123,138,77,
IN,Jefferson,26,26,4429,,2332,,135,,1112,55,72,
IN,Jennings,25,25,3620,,1762,,286,,1708,86,76,
IN,Johnson,107,107,11536,,9188,,1051,,9637,718,574,
IN,Knox,36,36,6407,,3260,,214,,1738,72,73,
IN,Kosciusko,65,65,4528,,4169,,1110,,5424,772,413,
IN,LaGrange,16,16,1918,,1559,,239,,1464,201,116,
IN,Lake,559,559,56770,,73693,,833,,8877,1404,424,
IN,LaPorte,79,79,13624,,12537,,342,,3176,631,153,
IN,Lawrence,39,39,4637,,2407,,461,,2996,451,157,
IN,Madison,111,111,16888,,13188,,804,,6855,557,370,
IN,Marion,594,590,60380,,122068,,2890,,36767,2615,2144,
IN,Marshall,27,27,4267,,3157,,362,,2262,193,143,
IN,Martin,18,18,1692,,943,,90,,570,49,22,
IN,Miami,31,31,3152,,1927,,510,,2747,391,153,
IN,Monroe,71,71,9425,,17950,,403,,3749,395,214,
IN,Montgomery,27,27,2534,,2438,,690,,4053,323,231,
IN,Morgan,48,48,6517,,3756,,690,,5293,389,268,
IN,Newton,18,18,1593,,849,,124,,978,104,43,
IN,Noble,29,29,3974,,2750,,382,,2122,403,179,
IN,Ohio,11,11,857,,279,,32,,199,11,12,
IN,Orange,22,22,2188,,998,,271,,1643,133,84,
IN,Owen,20,20,2215,,1459,,158,,952,131,43,
IN,Parke,17,17,2099,,1194,,234,,1264,93,58,
IN,Perry,21,21,3612,,1986,,54,,363,25,19,
IN,Pike,18,18,2467,,1077,,95,,768,24,24,
IN,Porter,128,128,20759,,15001,,638,,5841,1018,329,
IN,Posey,33,33,3845,,2973,,67,,622,72,17,
IN,Pulaski,15,15,1409,,911,,225,,1197,77,55,
IN,Putnam,29,29,3354,,2681,,323,,2260,186,123,
IN,Randolph,29,29,2846,,1748,,356,,2093,155,140,
IN,Ripley,27,27,2946,,1375,,286,,1842,123,79,
IN,Rush,20,20,1950,,1330,,178,,1490,137,70,
IN,Scott,16,16,4477,,1245,,43,,477,29,18,
IN,Shelby,39,39,4350,,2321,,426,,3648,280,210,
IN,Spencer,25,25,2928,,1835,,177,,1209,53,64,
IN,St. Joseph,226,226,30062,,33227,,825,,6197,854,405,
IN,Starke,21,21,3581,,1495,,127,,819,118,49,
IN,Steuben,19,19,3096,,2302,,249,,1770,332,151,
