
state,county,precincts,reporting,clinton,edwards,gravel,obama,curry,giuliani,huckabee,keyes,mccain,paul,romney
NE,*,1699,470,16366,,1270,15796,,,,,,,
NE,*,1699,480,,,,,,,,,39244,5195,
NE,Adams,28,7,181,,14,149,,,,,475,45,
NE,Antelope,14,0,0,,0,0,,,,,0,0,
NE,Arthur,1,1,10,,2,15,,,,,98,10,
NE,Banner,1,1,4,,0,8,,,,,85,15,
NE,Blaine,1,0,5,,3,8,,,,,80,15,
NE,Boone,10,1,64,,3,35,,,,,166,19,
NE,Box Butte,9,9,192,,17,171,,,,,631,81,
NE,Boyd,4,0,0,,0,0,,,,,0,0,
NE,Brown,4,0,0,,0,0,,,,,0,0,
NE,Buffalo,32,2,85,,9,56,,,,,271,16,
NE,Burt,12,4,70,,4,71,,,,,143,18,
NE,Butler,21,14,173,,21,130,,,,,379,48,
NE,Cass,31,29,143,,16,110,,,,,351,47,
NE,Cedar,17,17,129,,18,190,,,,,340,88,
NE,Chase,6,1,,,,,,,,,188,31,
NE,Chase,6,2,24,,7,15,,,,,,,
NE,Cherry,21,21,147,,28,114,,,,,1266,207,
NE,Cheyenne,10,0,,,,,,,,,283,23,
NE,Cheyenne,10,1,59,,10,42,,,,,,,
NE,Clay,12,1,15,,6,18,,,,,26,4,
NE,Colfax,6,6,241,,31,220,,,,,631,77,
NE,Cuming,8,3,57,,9,76,,,,,379,37,
NE,Custer,39,14,163,,17,157,,,,,987,109,
NE,Dakota,14,2,262,,11,144,,,,,144,33,
NE,Dawes,12,0,0,,0,0,,,,,0,0,
NE,Dawson,20,20,354,,52,322,,,,,1822,216,
NE,Deuel,4,0,0,,0,0,,,,,0,0,
NE,Dixon,12,6,58,,5,56,,,,,171,20,
NE,Dodge,32,2,695,,48,505,,,,,1621,229,
NE,Douglas,352,123,4522,,325,5578,,,,,8352,1026,
NE,Dundy,4,0,0,,0,0,,,,,0,0,
NE,Fillmore,11,3,36,,3,25,,,,,106,18,
NE,Franklin,5,0,0,,0,0,,,,,0,0,
NE,Frontier,6,3,28,,10,39,,,,,332,56,
NE,Furnas,8,0,0,,0,0,,,,,0,0,
NE,Gage,28,0,0,,0,0,,,,,0,0,
NE,Garden,5,4,39,,6,47,,,,,320,53,
NE,Garfield,4,0,0,,0,0,,,,,0,0,
NE,Gosper,5,0,0,,0,0,,,,,0,0,
NE,Grant,1,1,13,,4,7,,,,,98,5,
NE,Greeley,5,0,0,,0,0,,,,,0,0,
NE,Hall,40,26,679,,42,408,,,,,1627,195,
NE,Hamilton,12,0,64,,15,81,,,,,386,53,
NE,Harlan,9,0,0,,0,0,,,,,0,0,
NE,Hayes,4,0,0,,0,0,,,,,0,0,
NE,Hitchcock,4,3,52,,10,53,,,,,197,30,
NE,Holt,14,2,52,,4,32,,,,,329,41,
NE,Hooker,2,0,0,,0,0,,,,,0,0,
NE,Howard,9,1,7,,1,11,,,,,34,4,
NE,Jefferson,11,1,35,,0,15,,,,,59,8,
NE,Johnson,9,0,0,,0,0,,,,,0,0,
NE,Kearney,13,0,157,,16,171,,,,,650,90,
NE,Keith,12,0,177,,27,156,,,,,,,
NE,Keith,12,12,,,,,,,,,1175,112,
NE,Keya Paha,4,0,0,,0,0,,,,,0,0,
NE,Kimball,6,1,10,,1,2,,,,,67,2,
NE,Knox,9,0,0,,0,0,,,,,0,0,
NE,Lancaster,223,32,4131,,150,3663,,,,,5062,696,
NE,Lincoln,27,4,272,,27,183,,,,,689,97,
NE,Logan,1,0,0,,0,0,,,,,0,0,
NE,Loup,1,0,8,,1,17,,,,,101,12,
NE,Madison,24,12,75,,11,88,,,,,500,89,
NE,McPherson,1,1,11,,4,5,,,,,96,23,
NE,Merrick,15,0,0,,0,0,,,,,0,0,
NE,Morrill,10,3,33,,2,7,,,,,111,22,
NE,Nance,7,5,178,,28,124,,,,,307,59,
NE,Nemaha,10,0,28,,1,30,,,,,91,6,
NE,Nuckolls,9,1,42,,8,32,,,,,70,11,
NE,Otoe,17,10,204,,21,145,,,,,539,73,
NE,Pawnee,6,0,0,,0,0,,,,,0,0,
NE,Perkins,3,0,0,,0,0,,,,,0,0,
NE,Phelps,13,1,17,,0,12,,,,,96,4,
NE,Pierce,6,1,10,,0,3,,,,,62,8,
NE,Platte,31,9,231,,38,293,,,,,916,129,
NE,Polk,7,0,0,,0,0,,,,,0,0,
NE,Red Willow,16,3,84,,13,51,,,,,244,47,


NE,Richardson,15,0,59,,5,30,,,,,81,17,
NE,Rock,6,0,3,,3,1,,,,,48,1,
NE,Saline,13,4,204,,9,118,,,,,143,31,
NE,Sarpy,88,0,690,,59,655,,,,,2050,250,
NE,Saunders,19,0,0,,0,0,,,,,0,0,
NE,Scotts Bluff,31,12,243,,17,181,,,,,924,83,
NE,Seward,17,17,369,,24,341,,,,,913,188,
NE,Sheridan,9,0,0,,0,0,,,,,0,0,
NE,Sherman,6,0,0,,0,0,,,,,0,0,
NE,Sioux,2,1,11,,3,12,,,,,137,16,
NE,Stanton,16,6,16,,2,26,,,,,122,24,
NE,Thayer,8,3,48,,5,40,,,,,170,29,
NE,Thomas,1,1,11,,0,13,,,,,122,12,
NE,Thurston,10,9,135,,14,186,,,,,280,44,
NE,Valley,8,0,0,,0,0,,,,,0,0,
NE,Washington,16,0,0,,0,0,,,,,0,0,
NE,Wayne,11,1,157,,17,240,,,,,894,114,
NE,Webster,6,3,94,,13,63,,,,,207,29,
NE,Wheeler,2,0,0,,0,0,,,,,0,0,
NE,York,15,0,0,,0,0,,,,,0,0,
WV,*,1894,1004,,,,,425,1698,6903,830,51857,3611,3245
WV,*,1894,1048,128273,14188,,54731,,,,,,,
WV,Barbour,22,0,0,0,,0,0,0,0,0,0,0,0
WV,Berkeley,66,49,3915,445,,2710,26,94,358,67,3483,414,182
WV,Boone,37,21,3092,273,,594,2,6,32,0,241,28,16
WV,Braxton,22,0,0,0,,0,0,0,0,0,0,0,0
WV,Brooke,27,27,3866,426,,1577,3,32,99,14,856,60,64
WV,Cabell,71,40,4902,424,,2301,14,71,252,26,2031,161,136
WV,Calhoun,10,10,1070,178,,356,1,11,40,1,270,28,13
WV,Clay,13,9,1162,201,,261,3,4,35,6,244,35,5
