state,county,precincts,reporting,clinton,obama
PR,VIEQUES,1,1,564,286
PR,COMERIO,2,2,1166,729
PR,DORADO,1,1,2385,1706
PR,LOIZA,1,1,1090,872
PR,HATILLO,2,2,3229,1367
PR,LUQUILLO,1,1,1371,669
PR,AGUADILLA,1,1,4826,2010
PR,BAYAMON,4,4,17196,7383
PR,GUAYANILLA,1,1,1549,604
PR,VEGA ALTA,2,2,2213,1164
PR,SANTA ISABEL,1,1,1534,757
PR,HORMIGUEROS,1,1,1442,752
PR,CULEBRA,1,1,88,116
PR,MOROVIS,1,1,1928,990
PR,AIBONITO,1,1,1371,958
PR,VEGA BAJA,2,2,4057,2043
PR,TRUJILLO ALTO,2,2,4574,2255
PR,TOA BAJA,1,1,6198,2832
PR,TOA ALTA,1,1,3696,1948
PR,ARROYO,1,1,1080,582
PR,PEÑUELAS,1,1,1771,469
PR,CAMUY,1,1,2697,1191
PR,PONCE,3,3,12822,4479
PR,ISABELA,1,1,3317,1638
PR,MANATI,2,2,3329,1377
PR,RINCON,1,1,1159,631
PR,*,110,110,263120,121458
PR,CAYEY,1,1,2945,1768
PR,JUANA DIAZ,2,2,3250,1333
PR,FLORIDA,1,1,907,340
PR,LAJAS,1,1,2159,904
PR,RIO GRANDE,2,2,2867,1429
PR,SALINAS,1,1,2195,996
PR,BARCELONETA,1,1,2516,633
PR,MARICAO,1,1,426,237
PR,SAN GERMAN,2,2,2862,1246
PR,FAJARDO,1,1,2238,1082
PR,SAN SEBASTIAN,1,1,3490,1640
PR,SAN LORENZO,2,2,2506,1379
PR,OROCOVIS,1,1,1758,709
PR,CANOVANAS,2,2,2447,1259
PR,GUANICA,1,1,1481,523
PR,VILLALBA,1,1,1641,770
PR,AGUAS BUENAS,1,1,1719,884
PR,NARANJITO,1,1,1728,1159
PR,PATILLAS,1,1,1100,722
PR,CAROLINA,3,3,12219,6568
PR,GUAYNABO,2,2,8404,3508
PR,LAS PIEDRAS,2,2,2697,1274
PR,SAN JUAN,5,5,34283,13375
PR,CABO ROJO,1,1,3847,1403
PR,YAUCO,2,2,2546,1438
PR,JAYUYA,2,2,841,432
PR,BARRANQUITAS,2,2,1668,719
PR,CEIBA,1,1,748,470
PR,JUNCOS,1,1,2236,1355
PR,GURABO,2,2,2484,1231
PR,LARES,1,1,2518,1020
PR,CIALES,1,1,1549,595
PR,CATAÑO,1,1,2403,1123
PR,GUAYAMA,1,1,2601,1309
PR,SABANA GRANDE,1,1,1692,1072
PR,ADJUNTAS,1,1,1451,691
PR,HUMACAO,1,1,3606,2174
PR,CAGUAS,2,2,9265,4756
PR,ARECIBO,2,2,7563,2600
PR,QUEBRADILLAS,1,1,2351,1143
PR,LAS MARIAS,1,1,835,413
PR,NAGUABO,1,1,1523,885
PR,COAMO,1,1,2042,1179
PR,AÑASCO,1,1,2060,981
PR,MAUNABO,1,1,676,381
PR,YABUCOA,1,1,2078,1262
PR,AGUADA,1,1,3328,1415
PR,COROZAL,1,1,2289,1202
PR,CIDRA,1,1,2786,1133
PR,UTUADO,1,1,2407,1126
PR,MAYAGÜEZ,2,2,5946,2918
PR,MOCA,2,2,3291,1486
