state,county,precincts,reporting,clinton,obama,nopreference-d,huckabee,mccain,paul,romney,nopreference-r,uncommitted-r
MT,*,871,870,74685,102198,4236,,72206,20408,,2192,
MT,Beaverhead,16,16,405,747,0,,1370,280,,0,
MT,Big Horn,20,20,564,2134,38,,437,70,,9,
MT,Blaine,10,10,568,698,56,,308,89,,11,
MT,Broadwater,5,5,380,446,42,,730,121,,18,
MT,Carbon,16,16,866,1137,44,,779,228,,26,
MT,Carter,4,4,52,70,6,,215,86,,13,
MT,Cascade,38,38,7220,7788,603,,4853,847,,95,
MT,Chouteau,12,12,396,438,16,,860,210,,57,
MT,Custer,14,14,1084,860,54,,1005,133,,19,
MT,Daniels,5,5,197,167,27,,209,71,,7,
MT,Dawson,12,12,785,643,63,,946,269,,44,
MT,Deer Lodge,18,18,1750,1142,84,,374,57,,9,
MT,Fallon,6,6,147,163,13,,433,103,,36,
MT,Fergus,16,16,758,943,0,,1438,370,,0,
MT,Flathead,42,42,4096,6588,202,,7792,3674,,275,
MT,Gallatin,46,46,4138,10410,150,,4798,1479,,124,
MT,Garfield,7,7,67,64,10,,306,49,,4,
MT,Glacier,16,16,1283,1549,109,,307,59,,14,
MT,Golden Valley,2,2,65,77,10,,99,52,,4,
MT,Granite,4,4,262,325,11,,347,88,,10,
MT,Hill,22,22,1282,1504,92,,548,157,,13,
MT,Jefferson,14,14,991,1377,48,,1134,312,,25,
MT,Judith Basin,4,4,204,228,15,,297,66,,17,
MT,Lake,22,22,2251,2914,77,,2148,1101,,52,
MT,Lewis & Clark,56,56,5758,9017,341,,4387,876,,117,
MT,Liberty,4,4,163,176,16,,264,78,,19,
MT,Lincoln,14,14,889,1160,50,,1857,844,,126,
MT,Madison,8,8,435,815,44,,1099,211,,30,
MT,McCone,3,3,161,169,0,,224,83,,0,
MT,Meagher,1,0,0,0,0,,0,0,,0,
MT,Mineral,6,6,383,417,29,,292,144,,14,
MT,Missoula,101,101,8084,16423,345,,4197,1231,,80,
MT,Musselshell,6,6,259,219,11,,676,203,,37,
MT,Park,15,15,1090,2253,73,,1505,626,,37,
MT,Petroleum,1,1,38,27,4,,66,22,,2,
MT,Phillips,13,13,335,329,29,,422,48,,11,
MT,Pondera,8,8,480,639,35,,654,124,,30,
MT,Powder River,8,8,52,59,3,,442,118,,18,
MT,Powell,12,12,409,504,19,,659,154,,27,
MT,Prairie,4,4,122,90,15,,220,59,,14,
MT,Ravalli,22,22,2786,3834,114,,4492,1327,,172,
MT,Richland,15,15,534,463,0,,1011,194,,0,
MT,Roosevelt,13,13,642,904,64,,369,85,,12,
MT,Rosebud,12,12,662,894,67,,408,90,,7,
MT,Sanders,10,10,660,787,61,,1438,650,,73,
MT,Sheridan,6,6,208,210,22,,198,29,,6,
MT,Silver Bow,45,45,6264,5174,311,,1757,320,,63,
MT,Stillwater,8,8,713,863,61,,966,216,,26,
MT,Sweet Grass,5,5,199,247,6,,588,140,,11,
MT,Teton,5,5,486,585,37,,907,207,,63,
MT,Toole,10,10,454,390,27,,398,95,,16,
MT,Treasure,3,3,85,93,1,,109,24,,0,
MT,Valley,11,11,833,750,90,,558,148,,13,
MT,Wheatland,5,5,162,157,13,,197,53,,7,
MT,Wibaux,1,1,53,49,3,,158,95,,15,
MT,Yellowstone,69,69,11475,12089,575,,9955,1943,,264,
NM,*,1633,1631,,,,,93496,15296,,,
NM,Bernalillo,442,441,,,,,34863,6239,,,
NM,Catron,8,8,,,,,396,143,,,
NM,Chaves,53,53,,,,,5258,616,,,
NM,Cibola,30,30,,,,,565,103,,,
NM,Colfax,21,21,,,,,676,108,,,
NM,Curry,48,47,,,,,1723,151,,,
NM,DeBaca,6,6,,,,,180,30,,,
NM,Dona Ana,136,136,,,,,5600,801,,,
NM,Eddy,44,44,,,,,2784,252,,,
NM,Grant,47,47,,,,,1224,223,,,
NM,Guadalupe,8,8,,,,,156,17,,,
NM,Harding,5,5,,,,,143,19,,,
NM,Hidalgo,8,8,,,,,267,36,,,
NM,Lea,46,46,,,,,3714,272,,,
NM,Lincoln,23,23,,,,,2153,381,,,
NM,Los Alamos,19,19,,,,,1789,351,,,
NM,Luna,18,18,,,,,1182,201,,,
NM,McKinley,60,60,,,,,1182,201,,,
NM,Mora,13,13,,,,,177,14,,,
NM,Otero,43,43,,,,,3821,558,,,
NM,Quay,25,25,,,,,443,71,,,
NM,Rio Arriba,47,47,,,,,617,97,,,
NM,Roosevelt,24,24,,,,,1127,148,,,
NM,San Juan,78,78,,,,,6285,968,,,
NM,San Miguel,41,41,,,,,588,77,,,
NM,Sandoval,92,92,,,,,5615,1193,,,
NM,Santa Fe,92,92,,,,,3715,714,,,
NM,Sierra,11,11,,,,,1117,117,,,
NM,Socorro,29,29,,,,,967,204,,,
NM,Taos,39,39,,,,,732,113,,,
NM,Torrance,18,18,,,,,1112,242,,,
NM,Union,8,8,,,,,244,33,,,
NM,Valencia,51,51,,,,,3081,603,,,
SD,*,762,762,54179,43726,,4337,42843,10127,1982,,1793
SD,Aurora,7,7,317,220,,29,158,19,10,,5
SD,Beadle,14,14,1616,894,,105,633,85,29,,25
SD,Bennett,8,8,193,226,,16,188,33,6,,6
SD,Bon Homme,5,5,614,330,,59,324,103,15,,15
SD,Brookings,15,15,1527,1650,,160,1225,273,53,,51
SD,Brown,22,22,3256,2422,,155,1527,311,75,,56
SD,Brule,5,5,586,381,,27,276,35,15,,9
SD,Buffalo,3,3,120,173,,3,17,15,0,,1
SD,Butte,16,16,392,312,,57,772,334,23,,36
SD,Campbell,5,5,40,46,,24,209,49,5,,14
SD,Charles Mix,13,13,857,694,,53,363,48,9,,7
SD,Clark,13,13,368,195,,32,250,78,7,,6
SD,Clay,7,7,928,1051,,39,528,88,40,,23
SD,Codington,33,33,1831,1265,,74,667,226,33,,22
SD,Corson,17,17,190,236,,15,95,38,5,,2
SD,Custer,10,10,382,411,,54,763,228,37,,32
SD,Davison,8,8,1373,936,,90,816,136,37,,33
SD,Day,14,14,850,446,,39,230,71,6,,10
SD,Deuel,11,11,393,224,,28,187,66,9,,12
SD,Dewey,13,13,366,520,,6,128,33,7,,7
SD,Douglas,5,5,144,99,,34,264,48,12,,12
SD,Edmunds,7,7,402,234,,40,290,55,12,,29
SD,Fall River,16,16,399,360,,86,912,252,25,,55
SD,Faulk,7,7,211,132,,40,166,31,5,,12
SD,Grant,11,11,713,308,,40,327,81,13,,19
SD,Gregory,3,3,365,299,,39,251,27,5,,10
SD,Haakon,6,6,83,64,,22,238,78,10,,2
SD,Hamlin,7,7,406,213,,24,266,119,12,,19
SD,Hand,10,10,312,288,,55,431,70,20,,13
SD,Hanson,5,5,292,201,,21,208,46,8,,7
SD,Harding,4,4,32,31,,7,114,60,3,,6
SD,Hughes,15,15,816,776,,221,2613,314,77,,103
SD,Hutchinson,7,7,389,235,,87,396,93,14,,25
SD,Hyde,5,5,104,70,,22,162,38,5,,10
SD,Jackson,8,8,132,95,,14,154,71,10,,6
SD,Jerauld,5,5,265,182,,10,179,21,6,,9
SD,Jones,3,3,57,34,,11,110,21,3,,3
SD,Kingsbury,6,6,392,310,,40,340,111,11,,13
SD,Lake,10,10,1059,664,,98,707,153,41,,24
SD,Lawrence,12,12,1360,1444,,132,2254,696,74,,117
SD,Lincoln,29,29,2106,1739,,158,1689,342,81,,60
SD,Lyman,7,7,218,266,,17,202,54,4,,14
SD,Marshall,9,9,515,448,,26,204,26,6,,8
SD,McCook,6,6,495,286,,43,266,57,14,,10
SD,McPherson,6,6,133,106,,41,393,74,21,,11
SD,Meade,37,37,1118,936,,124,1587,711,49,,57
SD,Mellette,4,4,109,142,,32,168,40,6,,7
SD,Miner,8,8,293,188,,23,72,21,9,,1
SD,Minnehaha,66,66,11290,8765,,600,5142,1272,322,,205
SD,Moody,6,6,711,480,,37,204,43,5,,7
SD,Pennington,49,49,4849,4458,,426,6198,1353,338,,255
SD,Perkins,10,10,143,141,,32,230,165,6,,9
SD,Potter,6,6,161,121,,44,478,75,16,,14
SD,Roberts,14,14,964,1080,,38,322,68,10,,12
SD,Sanborn,4,4,221,144,,12,101,13,6,,11
SD,Shannon,10,10,772,835,,3,36,10,2,,2
SD,Spink,9,9,690,444,,38,333,50,14,,23
SD,Stanley,8,8,193,164,,24,316,68,9,,5
SD,Sully,4,4,100,88,,22,220,43,14,,13
SD,Todd,9,9,464,793,,13,71,23,5,,6
SD,Tripp,13,13,483,329,,70,699,132,14,,21
SD,Turner,8,8,599,381,,77,388,101,16,,14
SD,Union,13,13,1418,1102,,167,2102,226,142,,80
SD,Walworth,15,15,311,218,,66,669,178,29,,30
SD,Yankton,13,13,1570,1195,,89,969,303,55,,49
SD,Ziebach,8,8,121,206,,7,46,25,2,,3
