state,county,precincts,reporting,giuliani,huckabee,hunter,mccain,other-r,paul,romney,tancredo,thompson,uncommitted-r
WY,*,12,12,0,0,1,0,0,0,8,0,3,0
WY,Albany-Natrona,1,1,0,0,0,0,0,0,1,0,0,0
WY,Campbell-Johnson,1,1,0,0,0,0,0,0,1,0,0,0
WY,Converse-Niobrara,1,1,0,0,0,0,0,0,1,0,0,0
WY,Crook-Weston,1,1,0,0,0,0,0,0,0,0,1,0
WY,Fremont-Park,1,1,0,0,0,0,0,0,1,0,0,0
WY,Goshen-Platte,1,1,0,0,0,0,0,0,0,0,1,0
WY,Hot Springs-Washakie,1,1,0,0,0,0,0,0,0,0,1,0
WY,Laramie,1,1,0,0,0,0,0,0,1,0,0,0
WY,Sheridan-Big Horn,1,1,0,0,1,0,0,0,0,0,0,0
WY,Sweetwater-Carbon,1,1,0,0,0,0,0,0,1,0,0,0
WY,Teton-Sublette,1,1,0,0,0,0,0,0,1,0,0,0
WY,Uinta-Lincoln,1,1,0,0,0,0,0,0,1,0,0,0
