county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson

*,301,300,628,112238,202,48666,402,3912,104757,13245,20387,26760,1220,220,88447,18276,75202,68,2884

Acworth,1,1,1,72,0,48,0,19,118,10,11,23,2,0,79,13,34,0,1

Albany,1,1,1,58,0,34,0,5,82,13,13,13,1,0,46,17,0,0,2


Alexandria,1,1,1,118,0,83,1,5,121,15,30,48,2,0,148,29,62,0,10

Allenstown,1,1,4,461,1,212,0,4,256,50,78,84,4,1,241,75,181,0,7

Alstead,1,1,0,147,0,66,0,29,240,31,31,37,3,1,104,19,58,0,4


Alton,1,1,5,362,0,189,1,10,371,36,112,172,11,0,475,95,512,0,32

Amherst,1,1,14,970,4,424,1,31,1309,155,287,257,10,1,1250,197,1140,5,34

Andover,1,1,1,192,0,96,0,17,270,35,44,73,8,0,186,42,95,0,7


Antrim,1,1,0,195,0,106,2,26,272,47,41,91,2,0,187,71,165,0,12

Ashland,1,1,0,168,0,63,0,9,144,31,22,78,2,0,146,43,94,0,5

Atkinson,1,1,5,718,0,253,4,12,434,39,153,114,3,0,676,104,763,0,15


Auburn,1,1,1,433,0,184,3,6,397,51,139,158,12,2,507,103,479,2,15

Barnstead,1,1,1,332,2,183,1,10,345,34,70,130,15,1,270,80,239,0,13

Barrington,1,1,1,713,1,408,2,41,659,93,149,208,11,2,576,130,363,1,28


Bartlett,1,1,1,281,0,129,0,17,297,60,47,42,1,0,256,54,182,1,11

Bath,1,1,0,57,0,30,1,1,60,5,24,44,0,0,99,20,29,0,6

Bedford,1,1,18,1630,4,529,5,29,1614,183,579,434,16,2,2148,263,2479,1,51


Belmont,1,1,5,570,1,266,2,3,375,58,96,180,11,2,456,102,329,1,30

Bennington,1,1,1,82,0,71,0,6,119,15,37,37,3,0,106,35,70,0,2

Benton,1,1,0,19,0,13,1,1,16,5,0,22,0,2,21,14,16,0,1


Berlin,4,4,4,1368,1,618,5,9,602,84,71,176,2,2,333,95,204,1,10

Bethlehem,1,1,2,205,1,135,1,13,232,22,57,53,0,0,222,42,44,0,9

Boscawen,1,1,0,328,0,105,0,4,255,36,62,95,5,1,220,59,145,0,7


Bow,1,1,3,701,1,314,1,15,810,114,176,231,8,0,828,127,684,0,28

Bradford,1,1,3,106,0,80,0,10,214,20,46,56,5,0,117,25,111,0,3

Brentwood,1,1,0,332,0,147,5,17,303,31,72,85,5,1,350,68,312,0,11


Bridgewater,1,1,0,97,0,43,0,9,83,10,20,33,0,0,124,22,90,0,2

