state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson
SC,*,2259,2258,693,141128,247,93552,240,551,295091,725
SC,Abbeville,19,19,5,733,1,793,2,2,1989,1
SC,Aiken,78,78,18,4881,11,1858,10,15,7722,29
SC,Allendale,13,13,4,388,0,91,1,4,933,4
SC,Anderson,81,81,11,5459,5,5582,7,10,6253,16
SC,Bamberg,18,18,11,751,3,221,3,9,1720,5
SC,Barnwell,20,20,5,820,2,273,1,3,1632,4
SC,Beaufort,81,81,39,5108,4,2237,5,15,9531,27
SC,Berkeley,55,55,23,3870,14,2675,8,18,9843,38
SC,Calhoun,17,17,4,699,0,413,2,5,1605,4
SC,Charleston,184,184,67,11256,17,6413,37,56,29951,66
SC,Cherokee,38,38,3,1231,3,1491,0,3,1994,3
SC,Chester,27,27,9,1087,5,649,0,6,2550,6
SC,Chesterfield,34,34,12,1466,8,1290,1,5,2732,7
SC,Clarendon,30,30,8,1149,4,802,1,9,4043,18
SC,Colleton,37,37,5,1112,2,853,0,9,2954,14
SC,Darlington,38,38,11,1911,3,1282,5,16,5663,19
SC,Dillon,25,25,5,814,2,692,0,3,2749,6
SC,Dorchester,54,54,15,3223,9,2443,7,12,7146,25
SC,Edgefield,17,17,4,754,2,243,0,4,1906,6
SC,Fairfield,27,27,6,996,2,537,2,7,3410,9
SC,Florence,68,68,17,3699,7,2220,3,16,10759,19
SC,Georgetown,39,39,11,1950,6,1569,4,14,5323,16
SC,Greenville,144,144,56,11857,13,8998,19,48,21371,43
SC,Greenwood,43,43,12,1507,4,1419,5,8,4308,22
SC,Hampton,23,23,7,726,4,362,2,2,2231,6
SC,Horry,119,119,20,9937,21,7222,13,29,8503,23
SC,Jasper,19,19,7,577,2,190,4,1,2285,10
SC,Kershaw,39,39,5,2221,1,1480,2,4,4249,11
SC,Lancaster,34,34,10,2312,5,1677,4,8,3495,10
SC,Laurens,39,39,7,1541,0,1705,1,6,3561,8
SC,Lee,27,27,12,649,4,426,2,5,2667,6
SC,Lexington,93,93,23,7871,5,5587,13,22,9274,16
SC,Marion,22,22,13,955,3,783,4,8,4627,16
SC,Marlboro,20,20,3,989,0,755,4,3,2454,7
SC,McCormick,15,15,5,382,4,186,1,1,1189,1
SC,Newberry,35,35,4,1200,2,1120,1,6,2209,9
SC,Oconee,35,35,4,2098,2,3240,3,4,1872,5
SC,Orangeburg,58,58,33,5316,12,1682,9,21,14168,30
SC,Pickens,57,57,11,2516,2,2811,2,13,2901,5
SC,Richland,129,128,70,14828,16,6176,19,58,41898,72
SC,Saluda,23,23,8,659,3,465,2,1,1271,1
SC,Spartanburg,97,97,16,7717,10,6325,8,19,11245,21
SC,Sumter,59,59,17,2852,5,1286,5,7,10651,15
SC,Union,28,28,6,904,0,1221,2,1,2038,10
SC,Williamsburg,33,33,10,1266,9,578,5,12,5369,15
SC,York,68,68,41,6891,10,3231,11,23,8847,21
