
state,county,precincts,reporting,biden,clinton,dodd,edwards,kucinich,obama,richardson,uncommitted-d,cort,giuliani,huckabee,hunter,keyes,mccain,paul,romney,thompson,tran,uncommitted-r
OH,*,11238,5056,,,,,,,,,,,180145,,,335085,26299,18447,8981,,
OH,*,11238,5479,,594630,,19891,,433387,,,,,,,,,,,,,
OH,Adams,35,35,,2793,,142,,812,,,,,1487,,,1681,65,65,29,,
OH,Allen,121,121,,7023,,345,,6499,,,,,3957,,,7053,803,637,273,,
OH,Ashland,65,41,,,,,,,,,,,1806,,,2571,330,167,84,,
OH,Ashland,65,44,,2817,,104,,1812,,,,,,,,,,,,,
OH,Ashtabula,127,45,,6737,,234,,3383,,,,,1773,,,2824,410,106,75,,
OH,Athens,71,51,,5419,,281,,4657,,,,,,,,,,,,,
OH,Athens,71,54,,,,,,,,,,,724,,,1354,278,41,26,,
OH,Auglaize,40,40,,2668,,166,,1823,,,,,1641,,,2904,472,193,68,,
OH,Belmont,83,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Brown,35,35,,5352,,271,,1876,,,,,1901,,,2520,171,101,69,,
OH,Butler,302,93,,,,,,,,,,,5154,,,9054,377,443,186,,
OH,Butler,302,94,,9342,,202,,7497,,,,,,,,,,,,,
OH,Carroll,26,20,,2832,,180,,1358,,,,,1033,,,1677,173,87,63,,
OH,Champaign,28,28,,3513,,161,,2197,,,,,2287,,,3530,196,144,122,,
OH,Clark,100,96,,13731,,444,,8945,,,,,4826,,,7291,382,346,186,,
OH,Clermont,200,197,,15285,,415,,9382,,,,,8588,,,15597,986,923,464,,
OH,Clinton,38,22,,1430,,42,,862,,,,,1007,,,1448,72,54,41,,
OH,Columbiana,103,60,,8220,,316,,3069,,,,,1909,,,3019,372,168,117,,
OH,Coshocton,43,43,,4054,,188,,1952,,,,,1600,,,2524,217,107,81,,
OH,Crawford,46,12,,991,,62,,619,,,,,421,,,600,43,33,25,,
OH,Cuyahoga,1434,36,,,,,,,,,,,3178,,,14836,714,597,145,,
OH,Cuyahoga,1434,37,,32044,,871,,29880,,,,,,,,,,,,,
OH,Darke,43,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Defiance,42,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Delaware,131,79,,7099,,109,,6832,,,,,3098,,,7005,504,411,163,,
OH,Erie,62,62,,9742,,298,,7231,,,,,1681,,,3845,270,209,80,,
OH,Fairfield,125,82,,7499,,269,,4025,,,,,3480,,,7073,495,295,175,,
OH,Fayette,26,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Franklin,879,681,,,,,,,,,,,11912,,,24992,2120,1258,678,,
OH,Franklin,879,709,,52234,,874,,69073,,,,,,,,,,,,,
OH,Fulton,35,35,,4070,,93,,2483,,,,,2056,,,2906,293,206,117,,
OH,Gallia,35,17,,1665,,65,,420,,,,,727,,,1429,43,25,42,,
OH,Geauga,96,96,,10309,,245,,8299,,,,,2343,,,6598,618,368,135,,
OH,Greene,143,143,,12365,,327,,11546,,,,,8211,,,12600,670,607,275,,
OH,Guernsey,35,30,,3335,,167,,1242,,,,,1232,,,1729,107,85,74,,
OH,Hamilton,880,0,,7097,,225,,10211,,,,,2730,,,10981,428,665,139,,
OH,Hancock,63,63,,4781,,123,,3706,,,,,3720,,,6484,897,420,207,,
OH,Hardin,38,1,,376,,20,,162,,,,,168,,,387,31,27,6,,
OH,Harrison,16,10,,1098,,80,,314,,,,,223,,,358,20,22,12,,
OH,Henry,33,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Highland,37,20,,2246,,84,,795,,,,,1263,,,1786,65,70,52,,
OH,Hocking,34,20,,2165,,100,,890,,,,,514,,,777,97,21,23,,
OH,Holmes,19,8,,624,,35,,478,,,,,699,,,906,99,116,53,,
OH,Huron,52,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Jackson,36,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Jefferson,82,29,,,,,,,,,,,292,,,461,45,39,28,,
OH,Jefferson,82,55,,7213,,582,,3306,,,,,,,,,,,,,
OH,Knox,58,58,,4595,,162,,3484,,,,,2766,,,4156,514,215,141,,
OH,Lake,215,174,,23854,,592,,13961,,,,,4064,,,11877,910,523,247,,
OH,Lawrence,84,70,,6924,,250,,1710,,,,,2245,,,3284,155,138,101,,
OH,Licking,129,87,,,,,,,,,,,3802,,,7061,633,366,210,,
OH,Licking,129,91,,9761,,362,,5875,,,,,,,,,,,,,
OH,Logan,44,27,,2014,,106,,1331,,,,,1557,,,2381,143,155,86,,
OH,Lorain,239,97,,,,,,,,,,,1843,,,5038,304,237,110,,
OH,Lorain,239,98,,16306,,531,,11351,,,,,,,,,,,,,
OH,Lucas,495,100,,5402,,98,,9526,,,,,255,,,589,91,45,25,,


OH,Madison,44,44,,3120,,88,,1544,,,,,1621,,,2955,157,133,91,,
OH,Mahoning,312,31,,,,,,,,,,,1299,,,2420,221,149,85,,
OH,Mahoning,312,293,,23802,,677,,16411,,,,,,,,,,,,,
OH,Marion,84,70,,4153,,161,,2023,,,,,1252,,,2025,109,111,67,,
OH,Medina,151,150,,17612,,437,,10670,,,,,4317,,,9981,820,667,305,,
OH,Meigs,27,27,,2774,,121,,733,,,,,1121,,,2287,146,61,84,,
OH,Mercer,41,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Miami,82,82,,8817,,357,,6312,,,,,5558,,,9117,516,497,214,,
OH,Monroe,29,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Montgomery,548,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Morgan,22,14,,295,,11,,128,,,,,171,,,345,37,4,4,,
OH,Morrow,33,33,,3496,,167,,1776,,,,,1994,,,2542,248,149,95,,
OH,Muskingum,85,85,,9263,,343,,4224,,,,,4705,,,7044,471,311,180,,
OH,Noble,27,27,,1637,,142,,522,,,,,725,,,1286,73,40,70,,
OH,Ottawa,44,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Paulding,18,14,,1333,,94,,605,,,,,710,,,912,172,54,27,,
