
state,county,precincts,reporting,clinton,obama,huckabee,mccain,paul
PA,*,9268,9218,1258245,1042297,91211,585447,128188
PA,Adams,48,48,6541,4708,1196,6521,1691
PA,Allegheny,1321,1321,169073,141596,5128,42379,9264
PA,Armstrong,74,74,7101,2816,787,4303,807
PA,Beaver,129,129,28205,12184,1290,6839,1554
PA,Bedford,40,40,3691,1563,1023,4075,428
PA,Berks,193,193,35122,25270,2335,14284,5787
PA,Blair,97,97,8630,4654,1943,8275,1552
PA,Bradford,61,61,3733,1895,1160,5729,908
PA,Bucks,301,301,71830,42869,2943,29150,5868
PA,Butler,85,85,14771,8521,2179,12113,2264
PA,Cambria,165,165,22761,8882,1374,6604,1045
PA,Cameron,10,10,389,266,102,498,42
PA,Carbon,45,45,7908,2810,418,2358,464
PA,Centre,89,89,9404,14170,1865,10264,2053
PA,Chester,224,224,32814,40411,2674,26869,4945
PA,Clarion,41,41,3372,1711,845,3688,772
PA,Clearfield,71,71,8167,3763,1474,6060,948
PA,Clinton,36,36,3534,1617,417,2212,337
PA,Columbia,42,42,5362,3517,632,3006,813
PA,Crawford,67,67,7134,4189,1260,4902,1841
PA,Cumberland,101,101,15829,14228,2394,16296,4500
PA,Dauphin,159,159,18332,25529,2653,15995,4749
PA,Delaware,425,415,41288,51255,3055,39043,6711
PA,Elk,32,32,4020,2175,387,2025,303
PA,Erie,155,155,34884,20451,2604,11907,2844
PA,Fayette,105,105,23057,6167,629,3285,541
PA,Forest,9,9,610,284,103,615,114
PA,Franklin,74,74,7877,5455,2429,11129,1702
PA,Fulton,13,13,961,452,273,917,99
PA,Greene,44,44,6017,1961,258,1383,211
PA,Huntingdon,58,58,2955,1770,869,3191,514
PA,Indiana,69,69,7832,4392,974,4457,830
PA,Jefferson,37,37,3069,1765,813,3701,528
PA,Juniata,20,20,1710,781,352,1505,705
PA,Lackawanna,163,163,43067,15272,1028,7762,1323
PA,Lancaster,234,234,22710,27126,4521,28461,9230
PA,Lawrence,106,106,13202,4541,862,4457,683
PA,Lebanon,55,55,7316,5772,2033,8924,2546
PA,Lehigh,151,151,33134,21793,1579,11054,2597
PA,Luzerne,189,189,48075,15975,1872,13390,3061
PA,Lycoming,86,86,7937,5626,1761,11393,1872
PA,McKean,42,42,2240,1166,463,2781,610
PA,Mercer,100,100,13665,6073,1455,5902,1175
PA,Mifflin,30,30,2987,1288,676,3055,421
PA,Monroe,50,50,11850,8752,697,4387,973
PA,Montgomery,413,413,77886,75682,3610,38076,7360
PA,Montour,15,15,1479,971,221,1270,227
PA,Northampton,149,149,31583,19893,1138,8653,2232
PA,Northumberland,94,94,8196,3242,967,5402,1055
PA,Perry,32,32,2613,1623,740,3544,1381
PA,Philadelphia,1681,1641,149686,280147,1364,17015,3042
PA,Pike,18,18,3620,2250,246,2422,402
PA,Potter,33,33,1047,567,342,1666,527
PA,Schuylkill,167,167,15355,5517,1478,9760,1833
PA,Snyder,25,25,1824,1093,808,2866,649
PA,Somerset,68,68,8510,3235,1483,7290,1464
PA,Sullivan,15,15,679,313,127,705,122
PA,Susquehanna,43,43,3322,1769,782,3480,798
PA,Tioga,43,43,2161,1343,694,3698,850
PA,Union,27,27,2121,2311,779,3273,521
PA,Venango,48,48,4295,1957,1128,3663,1108
PA,Warren,33,33,4001,2040,688,3559,775
PA,Washington,185,185,30985,12432,1405,8000,1326
PA,Wayne,37,37,3254,1955,632,3747,585
PA,Westmoreland,306,306,50287,22189,2691,16460,3223
PA,Wyoming,31,31,2407,1059,556,2523,676
PA,York,159,159,28768,23248,3547,21231,5807
