state,county,precincts,reporting,clinton,edwards,obama,uncommitted-d,giuliani,huckabee,keyes,mccain,paul,romney,uncommitted-r
KY,*,3532,943,,,,,1214,4403,559,50994,4603,3355,3961
KY,*,3532,970,108443,3059,79363,3529,,,,,,,
KY,Adair,16,0,0,0,0,0,0,0,0,0,0,0,0
KY,Allen,13,0,56,3,8,0,2,12,0,43,1,6,1
KY,Anderson,14,1,92,8,27,9,1,1,0,21,1,3,3
KY,Ballard,13,0,0,0,0,0,0,0,0,0,0,0,0
KY,Barren,24,1,152,2,62,6,0,4,0,94,1,2,0
KY,Bath,12,1,38,2,11,0,0,1,0,2,3,0,0
KY,Bell,33,23,1721,39,224,39,6,86,8,754,28,36,43
KY,Boone,60,18,3108,101,1510,120,55,287,44,2799,238,275,201
KY,Bourbon,18,1,128,6,40,16,3,0,0,20,0,1,2
KY,Boyd,47,1,308,4,60,17,4,12,1,104,5,2,5
KY,Boyle,25,0,75,6,65,4,0,5,0,43,1,1,0
KY,Bracken,8,0,0,0,0,0,0,0,0,0,0,0,0
KY,Breathitt,21,10,1612,39,149,36,1,7,1,45,5,0,0
KY,Breckinridge,15,0,0,0,0,0,0,0,0,0,0,0,0
KY,Bullitt,44,1,192,6,75,7,0,10,1,53,5,2,2
KY,Butler,12,0,0,0,0,0,0,0,0,0,0,0,0
KY,Caldwell,12,0,0,0,0,0,0,0,0,0,0,0,0
KY,Calloway,28,0,0,0,0,0,0,0,0,0,0,0,0
KY,Campbell,66,1,218,9,135,11,1,7,3,155,5,8,3
KY,Carlisle,6,0,0,0,0,0,0,0,0,0,0,0,0
KY,Carroll,11,1,189,6,34,5,0,1,0,8,1,0,0
KY,Carter,23,0,0,0,0,0,0,0,0,0,0,0,0
KY,Casey,15,15,574,26,110,12,13,124,14,1326,45,47,68
KY,Christian,44,1,133,8,108,0,1,4,4,58,3,4,0
KY,Clark,26,1,106,5,45,7,0,1,1,22,1,0,0
KY,Clay,20,8,,,,,3,60,5,532,42,19,62
KY,Clay,20,11,323,5,42,7,,,,,,,
KY,Clinton,13,0,0,0,0,0,0,0,0,0,0,0,0
KY,Crittenden,12,0,0,0,0,0,0,0,0,0,0,0,0
KY,Cumberland,9,1,6,0,1,0,0,0,0,3,0,0,0
KY,Daviess,84,0,0,0,0,0,0,0,0,0,0,0,0
