state,county,precincts,reporting,clinton,obama,nopreference-d,huckabee,mccain,paul,romney,nopreference-r,uncommitted-r
MT,*,871,216,29575,45060,1877,,26865,6174,,706,
MT,Beaverhead,16,0,0,0,0,,0,0,,0,
MT,Big Horn,20,9,275,444,11,,278,42,,7,
MT,Blaine,10,0,0,0,0,,0,0,,0,
MT,Broadwater,5,0,0,0,0,,0,0,,0,
MT,Carbon,16,2,111,124,48,,69,16,,5,
MT,Carter,4,2,48,63,3,,162,62,,7,
MT,Cascade,38,0,4254,4551,431,,3051,411,,68,
MT,Chouteau,12,6,208,222,9,,460,93,,24,
MT,Custer,14,4,616,475,23,,575,69,,13,
MT,Daniels,5,1,28,19,4,,52,24,,2,
MT,Dawson,12,6,310,265,15,,316,101,,15,
MT,Deer Lodge,18,1,980,643,48,,194,27,,6,
MT,Fallon,6,2,40,30,3,,118,28,,10,
MT,Fergus,16,0,0,0,0,,0,0,,0,
MT,Flathead,42,10,1622,2774,95,,2929,1121,,91,
MT,Gallatin,46,0,1514,4745,83,,2072,422,,59,
MT,Garfield,7,0,0,0,0,,0,0,,0,
MT,Glacier,16,0,0,0,0,,0,0,,0,
MT,Golden Valley,2,0,0,0,0,,0,0,,0,
MT,Granite,4,4,211,262,6,,244,55,,6,
MT,Hill,22,0,0,0,0,,0,0,,0,
MT,Jefferson,14,5,517,732,27,,563,141,,10,
MT,Judith Basin,4,0,0,0,0,,0,0,,0,
MT,Lake,22,0,0,0,0,,0,0,,0,
MT,Lewis & Clark,56,26,3404,5514,203,,1991,338,,48,
MT,Liberty,4,2,80,73,8,,161,59,,11,
MT,Lincoln,14,0,0,0,0,,0,0,,0,
MT,Madison,8,3,112,195,11,,236,51,,10,
MT,McCone,3,1,51,42,0,,74,33,,0,
MT,Meagher,1,0,0,0,0,,0,0,,0,
MT,Mineral,6,0,0,0,0,,0,0,,0,
MT,Missoula,101,86,6755,13436,290,,3235,1016,,66,
MT,Musselshell,6,4,237,200,0,,603,179,,0,
MT,Park,15,9,852,1816,54,,1035,355,,26,
MT,Petroleum,1,1,38,27,4,,66,22,,2,
MT,Phillips,13,0,0,0,0,,0,0,,0,
MT,Pondera,8,4,306,404,26,,491,99,,27,
MT,Powder River,8,2,12,9,0,,102,34,,0,
MT,Powell,12,1,45,76,3,,112,20,,5,
MT,Prairie,4,0,0,0,0,,0,0,,0,
MT,Ravalli,22,1,526,902,0,,976,187,,0,
MT,Richland,15,0,0,0,0,,0,0,,0,
MT,Roosevelt,13,1,9,10,1,,8,5,,0,
MT,Rosebud,12,7,438,598,51,,244,50,,6,
MT,Sanders,10,0,0,0,0,,0,0,,0,
MT,Sheridan,6,2,79,78,7,,71,11,,2,
MT,Silver Bow,45,0,0,0,0,,0,0,,0,
MT,Stillwater,8,0,0,0,0,,0,0,,0,
MT,Sweet Grass,5,1,131,160,11,,297,70,,1,
MT,Teton,5,0,0,0,0,,0,0,,0,
MT,Toole,10,1,19,10,1,,13,1,,1,
MT,Treasure,3,0,0,0,0,,0,0,,0,
MT,Valley,11,1,106,108,12,,97,20,,2,
MT,Wheatland,5,0,0,0,0,,0,0,,0,
MT,Wibaux,1,1,53,49,3,,158,95,,15,
MT,Yellowstone,69,10,5588,6004,386,,5812,917,,161,
NM,*,1633,1336,,,,,74132,11823,,,
NM,Bernalillo,442,324,,,,,27283,4589,,,
NM,Catron,8,7,,,,,387,87,,,
NM,Chaves,53,52,,,,,4554,536,,,
NM,Cibola,30,8,,,,,132,51,,,
NM,Colfax,21,20,,,,,586,97,,,
NM,Curry,48,47,,,,,1319,94,,,
NM,DeBaca,6,6,,,,,180,30,,,
NM,Dona Ana,136,95,,,,,3832,529,,,
NM,Eddy,44,44,,,,,2784,252,,,
NM,Grant,47,47,,,,,1224,223,,,
NM,Guadalupe,8,7,,,,,156,17,,,
NM,Harding,5,5,,,,,143,19,,,
NM,Hidalgo,8,8,,,,,267,36,,,
NM,Lea,46,46,,,,,1476,104,,,
NM,Lincoln,23,23,,,,,2153,381,,,
NM,Los Alamos,19,19,,,,,1734,354,,,
NM,Luna,18,18,,,,,1018,190,,,
NM,McKinley,60,34,,,,,1016,165,,,
NM,Mora,13,13,,,,,177,14,,,
NM,Otero,43,43,,,,,3821,558,,,
NM,Quay,25,25,,,,,443,71,,,
NM,Rio Arriba,47,47,,,,,135,16,,,
NM,Roosevelt,24,24,,,,,1127,148,,,
NM,San Juan,78,70,,,,,5547,870,,,
NM,San Miguel,41,40,,,,,572,75,,,
NM,Sandoval,92,88,,,,,3077,670,,,
NM,Santa Fe,92,73,,,,,2771,526,,,
NM,Sierra,11,11,,,,,1117,117,,,
NM,Socorro,29,13,,,,,732,137,,,
NM,Taos,39,22,,,,,301,39,,,
NM,Torrance,18,18,,,,,1112,242,,,
NM,Union,8,2,,,,,244,33,,,
